blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
15331596,0,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1660369110,0,0,0,null,null
15412540,0,3972.5825608395,0,83.8097586675,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661478127,0,3721.153284837,3721.153284837,null,null
15412833,0,2375.3142,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661482395,0,6115.1706,6115.1706,null,null
15413365,0,1763.986665,0,1689.051078,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661489242,0,4670.53269273,4670.53269273,null,null
15413724,0,124.9149525,0,1.6655327,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661494432,0,6377.49126157,6377.49126157,null,null
15413970,0,4.97597453922,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661497593,0,6419.12957907,6419.12957907,null,null
15414216,0,165.97499,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661501170,0,6397.610465075154,6397.610465075154,null,null
15414621,0,249.2805,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661506767,0,6742.372777,6742.372777,null,null
15415482,0,2921.4675,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661518643,0,6825.466277,6825.466277,null,null
15415703,0,11825.16,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661521445,0,20047.391825,20047.391825,null,null
15415925,0,165.733,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661524490,0,21608.413686,21608.413686,null,null
15416285,0,2553.13659719,0,159.962251461,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661529357,0,23155.396686,23155.396686,null,null
15416929,0,540.1795,0,621.2534025,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661538684,0,21834.2371725,21834.2371725,null,null
15417462,0,17.195694964647442997403,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661546068,0,22235.5322281,22235.5322281,null,null
15417666,0,15.5602283651,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661548569,0,22499.267053763647442997403,22499.267053763647442997403,null,null
15417925,0,15.5813134769,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661552003,0,22450.5300709537031295429801111,22450.5300709537031295429801111,null,null
15418643,0,2106.30122786352,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661562307,0,22496.5332989043678962764050509,22496.5332989043678962764050509,null,null
15419043,0,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661567851,0,23468.5949428504446119474325,23468.5949428504446119474325,null,null
15419556,0,752.32,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661575101,0,23468.5949428504446119474325,23468.5949428504446119474325,null,null
15419867,0,4.43676,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661579476,0,24458.14810607032036219584,24458.14810607032036219584,null,null
15420016,0,22142.333963141,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661581628,0,24044.50242157321232325252,24044.50242157321232325252,null,null
15422256,0,14.9473,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661612514,0,46302.96317778586772941719629429,46302.96317778586772941719629429,null,null
15422662,0,7247.1,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661617641,0,46587.96806477302873443813,46587.96806477302873443813,null,null
15422802,0,1332046.43020176,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661619873,0,52422.83921206058840611302,52422.83921206058840611302,null,null
15423930,0,2140621.1411465,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661635342,0,1385222.64918099069034989163723976,1385222.64918099069034989163723976,null,null
15425292,0,15.0327,0,1503.16026129,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661654582,0,3596089.64676128956460739987,3596089.64676128956460739987,null,null
15427021,0,149.185,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661679136,0,3567353.82369933501663676485,3567353.82369933501663676485,null,null
15428295,0,29.8689051744,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661696350,0,3567428.41619933501663676485,3567428.41619933501663676485,null,null
15429204,0,0,0,4660.77996,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661708476,0,3508895.88143609656376453616,3508895.88143609656376453616,null,null
15429355,0,742.413064595,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661710783,0,3542543.70469589693105784378,3542543.70469589693105784378,null,null
15430153,0,0,0,4.45145927034,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661721824,0,3546739.70069824994089027657905939,3546739.70069824994089027657905939,null,null
15432803,0,145.271881008,0,145.271735736118992,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661758191,0,3470187.25542829935065423196465648,3470187.25542829935065423196465648,null,null
15433952,0,289.51,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661774308,0,3470041.98369256323166223196465648,3470041.98369256323166223196465648,null,null
15435958,0,76.663675,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661801651,0,3457984.99700037433055102655,3457984.99700037433055102655,null,null
15436649,0,154.34058408,0,25466.1963732,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661811308,0,3661658.7094895565372932501535048,3661658.7094895565372932501535048,null,null
15439121,0,478.953,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661845067,0,3661735.8797815965372932501535048,3661735.8797815965372932501535048,null,null
15439978,0,8.889511698872,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661856942,0,3788204.64049638535626957231,3788204.64049638535626957231,null,null
15440194,0,0,0,8.889511698872,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661859952,0,3766627.66929360447030361099275797,3766627.66929360447030361099275797,null,null
15441961,0,496.3645894449,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661884763,0,3766618.77978190559830361099275797,3766618.77978190559830361099275797,null,null
15442661,0,0,0,511.5066,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661894333,0,3569513.55817866843532735453044693,3569513.55817866843532735453044693,null,null
15444455,0,0,0,160.45367,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661919054,0,3677893.00214981881098456162,3677893.00214981881098456162,null,null
15444774,0,31287.555,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661923750,0,3807089.9693068410604863758227,3807089.9693068410604863758227,null,null
15445927,0,322.66427356075,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDC - Wrapped Ether,Compound III,1661939576,0,3765576.40291032608390440560043315,3765576.40291032608390440560043315,null,null
