blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20243751,0,0,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720224047,0,0,0,null,null
20277971,0,3361.2814802033238339,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720637063,0,0,0,null,null
20278345,0,58507.49763353657592514836020465,0,58507.49763271143999999030543075,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720641563,0,61856.37650511235647024836020465,61856.37650511235647024836020465,null,null
20278359,0,58507.49763271143999999030543075,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720641743,0,3348.8788724009164702580547739,3348.8788724009164702580547739,null,null
20281060,0,2167.471677766728,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720674371,0,61856.37650511235647024836020465,61856.37650511235647024836020465,null,null
20292929,0,1256.626777,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720817483,0,63368.526708645589419771427,63368.526708645589419771427,null,null
20297727,0,65144.2006,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720875395,0,64228.60669153313067821711324885,64228.60669153313067821711324885,null,null
20304865,0,6984.3589923209173016,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720961579,0,131737.1033640278683389505661606,131737.1033640278683389505661606,null,null
20309478,0,0,0,63136.454935250027799991701152,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721017139,0,139560.7869402329370085671523879,139560.7869402329370085671523879,null,null
20317585,0,0,0,70393,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721114987,0,83663.613802929891433114696778,83663.613802929891433114696778,null,null
20342677,0,42394.40412,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721417411,0,15009.2439760255535011599178,15009.2439760255535011599178,null,null
20361162,0,6551.96462330592,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721640335,0,57460.01089565721275730196761892,57460.01089565721275730196761892,null,null
20379216,0,198.6323984,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721858099,0,64306.897971470294435702092,64306.897971470294435702092,null,null
20379554,0,13348.53,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721862179,0,60961.081202967990735944581284,60961.081202967990735944581284,null,null
20380071,0,0,0,53508,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721868443,0,73979.94890149861795154903169,73979.94890149861795154903169,null,null
20382791,0,3380.52,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721901179,0,22131.737450257446370951746,22131.737450257446370951746,null,null
20390267,0,548.73884876,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721991383,0,23431.937450257446370951746,23431.937450257446370951746,null,null
20391911,0,394612.304,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1722011219,0,24668.88243018012089549731749628,24668.88243018012089549731749628,null,null
20406896,0,4801.685912680227668538609837,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1722191951,0,419521.25251969798193744088676,419521.25251969798193744088676,null,null
