blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20243751,0,0,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720224047,0,0,0,null,null
20277741,0,119417.5581875,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720634303,0,59681.125,59681.125,null,null
20277800,0,106145.4528729787499171887461847,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720635011,0,179209.2995625,179209.2995625,null,null
20278332,0,656.89656390256364,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720641407,0,225618.3192479787499171887461847,225618.3192479787499171887461847,null,null
20278963,0,4512.4600969206132,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720649015,0,227019.21662426013728912249389982,227019.21662426013728912249389982,null,null
20289231,0,1457.288777222515180647375,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720772951,0,230726.3734812069826407885596196,230726.3734812069826407885596196,null,null
20290867,0,865390.966546589027569986737985,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720792679,0,694796.26382014609652503314681,694796.26382014609652503314681,null,null
20295264,0,1897.37200537644911777613963963,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720845683,0,1092635.805366735124095019884795,1092635.805366735124095019884795,null,null
20303517,0,0,0,4521.58517769158429997082657881,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720945319,0,1110202.37046573315449439958404009,1110202.37046573315449439958404009,null,null
20312131,0,2646.09888155472178890274983375,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1721049155,0,1116519.86484593039925176375936528,1116519.86484593039925176375936528,null,null
20356399,0,3754.8493292259116247363481616,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1721582843,0,1198250.16048707327410217626292383,1198250.16048707327410217626292383,null,null
20370655,0,2953.39851325556,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1721754839,0,1206837.8837026235171021374378402,1206837.8837026235171021374378402,null,null
20378991,0,300635.92641,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1721855363,0,1167041.50078832726273393190365133,1167041.50078832726273393190365133,null,null
20392959,0,44.40707766,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1722023891,0,1458769.4263116903207723210951519,1458769.4263116903207723210951519,null,null
20408836,0,1854503.6593066,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1722215291,0,1510849.885136662760895685756782,1510849.885136662760895685756782,null,null
20409286,0,115.0279138091723739046575,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1722220703,0,3261711.923908365422736595569315,3261711.923908365422736595569315,null,null
