blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20243802,100985.08735,300930.43383103536185,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720224659,100985.08735,368520.4526920352142,368520.4526920352142,1.6167678370848,3.1715735237712
20275211,1000.0086,0,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720603811,100985.10197484032345,469505.56724701780535,469505.56724701780535,1.2690203114736,2.8120379454288
20275936,0,0,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720612535,102035.0426168200578,469650.5892613325886,469650.5892613325886,1.2818183645232,2.8252698329232
20277745,54995.6,0,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720634351,127026.73768594896,468614.7666292952,468614.7666292952,1.5993046004832,3.1535183122992
20278028,44796.416,105775.06682563936,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720637747,201821.4892490992,541394.3847790164,541394.3847790164,2.1994073450784,3.7739635239888
20278325,39996.8,558791.88739145448,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720641323,241818.82089456416,833207.80981525816,833207.80981525816,1.7123351748192,3.2703804349488
20278632,876529.872,547873.64502572608,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720645031,1118353.39613327496,1551073.12276651648,1551073.12276651648,4.2540128761824,5.8982166989856
20278830,213976.29850556168,399967.99999900008,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720647407,1318113.9989034832,2081035.11705394536,2081035.11705394536,3.737021313816,5.3637000011568
20279130,62260.42239870952,2.99975900008,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720651055,1334438.31360182336,2081043.60655273112,2081043.60655273112,3.7832873946768,5.4115344240624
20279485,166844.4087944068,2499.27311115448,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720655339,1475373.21173391728,2083558.45051111816,2083558.45051111816,4.1778054951552,5.819426018136
20279785,37996.96,407886.29981933328,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720658963,1599465.35931985712,2453458.47097693136,2453458.47097693136,3.8463441407136,5.4767286864864
20280098,139988.8,130161.09639219096,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720662719,1739457.06750018408,2491458.5909561128,2491458.5909561128,4.119192158904,5.7588257908944
20280722,108491.32,411376.80034395032,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720670267,1847979.41554474192,2943210.09582528232,2943210.09582528232,3.7044853041024,5.3300610734544
20281000,128489.72,45408.63800932072,6499.48452763776,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720673651,1969981.1716523796,3071451.39952117664,3071451.39952117664,3.784168264536,5.4124451522064
20281315,1999.84,237054.04978974952,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720677431,1971985.50908055656,3080455.5890463832,3080455.5890463832,3.7769460285744,5.404978092816
20282029,0,0,0,99985.00056,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720686035,1971994.26952566488,3315519.3616200488,3315519.3616200488,3.5091836035056,5.1281389793808
20284291,0,0,0,2499.65400049903817,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720713251,1972021.86000425,3215566.10431338536,3215566.10431338536,3.621179651976,5.2439315018256
20284604,0,100000.42099899999579,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720717043,1972277.14074780585816,3213437.67509865711443,3213437.67509865711443,3.621179651976,5.2439315018256
20284677,0,459446.42983832637917,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720717919,1972289.57691816191494,3313452.08815856343864,3313452.08815856343864,3.5118988247232,5.130946241568
