blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20243751,0,0,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720224047,0,0,0,null,null
20278175,0,46580.104782582493578,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720639523,0,0,0,null,null
20278572,0,67366.6387064346288588,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720644311,0,69748.8928688663380972,69748.8928688663380972,null,null
20278871,0,397922.1298774272107029,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720647899,0,493967.0180347496420112,493967.0180347496420112,null,null
20279125,0,75208.25882635,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720650995,0,511755.3500964069460625,511755.3500964069460625,null,null
20279480,0,133234.803721298673276,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720655279,0,714757.3363016370334796,714757.3363016370334796,null,null
20279844,0,134413.8499206980825868,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720659671,0,723291.956180809807526,723291.956180809807526,null,null
20280431,0,50548.0972552425675954,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720666739,0,855180.5735187469443663,855180.5735187469443663,null,null
20280533,0,123527.5058205407829136,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720667963,0,911591.1360110172713172,911591.1360110172713172,null,null
20287014,0,229975.23641012,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720746143,0,1030310.963320772554158,1030310.963320772554158,null,null
20288215,0,283263.8259090241085535,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720760615,0,1257467.641419425963969,1257467.641419425963969,null,null
20288568,0,284915.0295039361,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720764911,0,1531974.3353497177955385,1531974.3353497177955385,null,null
20290248,0,1431170.47774275,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720785227,0,2107986.2775607214298903,2107986.2775607214298903,null,null
20290772,0,72229.2026588125,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720791527,0,3252922.6597549214298903,3252922.6597549214298903,null,null
20292524,0,697.34662954464,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08402260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDT - Wrapped BTC,Compound III,1720812587,0,3355639.7212359636984565,3355639.7212359636984565,null,null
