blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20243787,0,179013.3,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720224479,0,0,0,null,null
20277936,0,20320.107,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720636643,0,179013.3,179013.3,null,null
20278173,0,15510.7,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720639499,0,206743.107,206743.107,null,null
20278560,0,2120206.725,0,741839.36399872831999997208,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720644167,0,1600608.51720127168000002792,1600608.51720127168000002792,null,null
20279480,0,162320.598,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720655279,0,1664414.01720126928526120352,1664414.01720126928526120352,null,null
20279757,0,52709.28162736,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720658627,0,1759914.96120126928526120352,1759914.96120126928526120352,null,null
20279844,0,76742.99984,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720659671,0,1812548.17332705643039838383715712,1812548.17332705643039838383715712,null,null
20280685,0,48050.813,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720669787,0,1919094.78960125848232828456,1919094.78960125848232828456,null,null
20280983,0,225136.773,0,10769.1499990719999969753,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720673435,0,2127030.2010021875507532463,2127030.2010021875507532463,null,null
20286299,0,66018.5197270875,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720737503,0,2137707.0440021875507532463,2137707.0440021875507532463,null,null
20288476,0,116116,0,204000.186222,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720763795,0,2002437.47747829087364205842587,2002437.47747829087364205842587,null,null
20288586,0,52360,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720765127,0,2117530.80000218975472716,2117530.80000218975472716,null,null
20288955,0,145632.772864,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720769615,0,2278036.8720641984709463171546,2278036.8720641984709463171546,null,null
20289231,0,99924.1426230194,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720772951,0,2311389.2457171861455421364845,2311389.2457171861455421364845,null,null
20289639,0,113.76945,0,113.76944796735948870765,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720777859,0,2411472.63645218609328662595,2411472.63645218609328662595,null,null
20289757,0,146513.80224,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720779287,0,2491406.15967778789215579219264,2491406.15967778789215579219264,null,null
