blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20243751,0,0,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720224047,0,0,0,null,null
20275183,0,1627.971235047,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720603475,0,0,0,null,null
20291342,0,106352.7766205168973377895046836,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720798379,0,1627.971235047,1627.971235047,null,null
20291625,0,125274.64541551902478725834060318,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720801775,0,108004.2235310108973377895046836,108004.2235310108973377895046836,null,null
20291848,0,47970.62326440868047056816438416,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720804451,0,233334.48320200589894652573305898,233334.48320200589894652573305898,null,null
20293262,0,380865.24965973270414694184291453,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720821503,0,491897.36768044560376856925774975,491897.36768044560376856925774975,null,null
20294983,0,86836.832398576467886240645226,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720842299,0,661359.05536620486795384833408718,661359.05536620486795384833408718,null,null
20298608,0,104505.59861257097493897764180239,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720886111,0,750807.924708279892577635689308,750807.924708279892577635689308,null,null
20299361,0,85331.86253206911457700216377272,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720895195,0,860900.27734774983242793434845587,860900.27734774983242793434845587,null,null
20300127,0,146333.84362766012810569094034458,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720904387,0,946793.30119999771454073088747395,946793.30119999771454073088747395,null,null
20303977,0,296530.3714213101597829098883017,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720950863,0,1095843.02703405220919338156397223,1095843.02703405220919338156397223,null,null
20308391,0,104209.5423261026396989749443641,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721004071,0,1502674.85683636886222862693135042,1502674.85683636886222862693135042,null,null
20312226,0,29769.26512447249926215133090014,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721050295,0,1592135.28330632235519461569425195,1592135.28330632235519461569425195,null,null
20312530,0,3948928.9173730518028167072890454,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721053943,0,5559179.4264695900844340246814934,5559179.4264695900844340246814934,null,null
20312716,0,1802.73646438127674044081649125,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721056199,0,5611682.68844731556107877141057582,5611682.68844731556107877141057582,null,null
20316517,0,4127906.66305074078111376250554936,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721102111,0,5581777.81779811998715939635500148,5581777.81779811998715939635500148,null,null
20316694,0,2222238.08173433216083511089439388,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721104247,0,9856869.76629217207546972070949672,9856869.76629217207546972070949672,null,null
20317599,0,0,0,313446.883561495168912481221427,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721115155,0,12113019.44414101182299510341978584,12113019.44414101182299510341978584,null,null
20319982,0,8613.58698883011123583328968764,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721143883,0,11527142.4975596711397587252169178,11527142.4975596711397587252169178,null,null
20321567,0,3122645.21696876803846096409475228,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721162951,0,14387684.43391710998223615000961698,14387684.43391710998223615000961698,null,null
20323038,0,420841.5413146584994262999252496,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721180627,0,14908950.61069841259638492085542793,14908950.61069841259638492085542793,null,null
20323703,0,204.4113200565,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721188643,0,15496574.73680315269442648775789895,15496574.73680315269442648775789895,null,null
20325510,0,0,0,204.83327025841575630950624676,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721210399,0,15401271.62308404785427832385522673,15401271.62308404785427832385522673,null,null
20332409,0,275389.73039919292268850718781537,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721293655,0,15432858.46480091464409346942315675,15432858.46480091464409346942315675,null,null
20332910,0,75944.21151143156875446107052708,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721299739,0,15545977.71936141490661812910754762,15545977.71936141490661812910754762,null,null
20333678,0,1834.48673825328164104870931844,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721308979,0,15695152.59938167206002660067795564,15695152.59938167206002660067795564,null,null
20336838,0,1329129.57287200467948048979660277,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721347055,0,15774689.6883840543544394425122987,15774689.6883840543544394425122987,null,null
20342267,0,1325054.71484919280280791058922695,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721412467,0,16817973.58331343817950510275647686,16817973.58331343817950510275647686,null,null
20342646,0,348475.70965968599141025600400944,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721417039,0,18502241.59451410535400192822335297,18502241.59451410535400192822335297,null,null
20344167,0,135811.3780961484542176832685342,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721435351,0,18987679.73954739478424495432702397,18987679.73954739478424495432702397,null,null
20348872,0,437546.26857253308967704309986808,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721492123,0,19023733.8104181735468961044362996,19023733.8104181735468961044362996,null,null
20349299,0,556491.2830087871356622962693608,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721497283,0,19907590.33087340354147117406832572,19907590.33087340354147117406832572,null,null
20351053,0,350880.9755182833780169809305576,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721518415,0,20077024.62342218686137526481967256,20077024.62342218686137526481967256,null,null
20355766,0,21084.17626190405680880933799613,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721575211,0,20400575.87895165323676031296884656,20400575.87895165323676031296884656,null,null
20357383,0,997424.0977604460282373324864068,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721594723,0,20422153.36326507824040712087045599,20422153.36326507824040712087045599,null,null
20357984,0,400429.48194015051136967448681048,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721601995,0,21394140.72239330955347421247937568,21394140.72239330955347421247937568,null,null
20358350,0,0,0,98086.71820624893447316476090986,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721606387,0,21959821.80346394985324802170527904,21959821.80346394985324802170527904,null,null
20358594,0,0,0,1377710.47803737922999829897494026,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721609351,0,21850392.78289214272218260173157862,21850392.78289214272218260173157862,null,null
20365130,0,0,0,3593799.4627516,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721688227,0,18378740.07478492309945215849374752,18378740.07478492309945215849374752,null,null
20366323,0,31302.11210411165274997606313734,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721702615,0,16359751.61256492309945215849374752,16359751.61256492309945215849374752,null,null
20368037,0,0,0,1835.92580583719999769877326208,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721723339,0,16566992.6101583409518729428916575,16566992.6101583409518729428916575,null,null
20370383,0,51.74769875086646644104341022,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721751563,0,16558793.11240167319912935709157292,16558793.11240167319912935709157292,null,null
20371871,0,110269.44910442531746311460026846,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721769479,0,16432405.99597359765940696905479136,16432405.99597359765940696905479136,null,null
20373892,0,6304.24811934046965686805196112,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721793863,0,16717743.85194428998844547901635774,16717743.85194428998844547901635774,null,null
20374914,0,8076.30429036,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721806175,0,16549617.49437084197447405915705676,16549617.49437084197447405915705676,null,null
20376993,0,690126.2579714982427323821595177,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721831231,0,16512853.09206847323341445063859038,16512853.09206847323341445063859038,null,null
20379216,0,3338.5357729339573256816281521,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721858099,0,17249640.07103520626971815775416468,17249640.07103520626971815775416468,null,null
20379661,0,49880.84823852281536480826695277,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721863463,0,16690646.79856723616852889188488238,16690646.79856723616852889188488238,null,null
20380397,0,48702.62188841624447459147427933,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721872367,0,16687362.0051303917308562869820431,16687362.0051303917308562869820431,null,null
20380646,0,31703.31663867983468724180178804,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721875355,0,16115010.32276135588486263650495903,16115010.32276135588486263650495903,null,null
20381124,0,35987.3032686347792996768694972,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721881103,0,15976168.67627455578015968686620088,15976168.67627455578015968686620088,null,null
20384699,0,3132.42759356481800154198160726,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721924195,0,15965424.9408749010969670291489659,15965424.9408749010969670291489659,null,null
20389228,0,19580.11105046992312132010853587,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721978867,0,15829520.35568629165262404046458032,15829520.35568629165262404046458032,null,null
20390304,0,9725.6245623446845056179193718,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1721991827,0,16510717.69162602613539828780728291,16510717.69162602613539828780728291,null,null
20392275,0,32453.6379564762760680527953981,0,102681.09260533784675881221631231,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1722015635,0,16465818.44546391489301869623076064,16465818.44546391489301869623076064,null,null
20392831,0,255.19830180417336266138704098,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1722022331,0,16363137.35285857704625988401444833,16363137.35285857704625988401444833,null,null
20394079,0,99674.1080048924068250734996604,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1722037403,0,16413255.73030771939405583228768409,16413255.73030771939405583228768409,null,null
20398935,0,0,0,4616.50173744132492573565537428,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1722095951,0,16627570.7033595564900247340723238,16627570.7033595564900247340723238,null,null
20399108,0,0,0,5048.341442545383,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1722098039,0,16632156.58571604944460927129086529,16632156.58571604944460927129086529,null,null
20407287,0,15880.80771788337690160386958442,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1722196655,0,16631301.13699827319560927129086529,16631301.13699827319560927129086529,null,null
20407597,0,0,0,15822.58754723740687055387656506,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1722200387,0,16611597.38979964354822467770375739,16611597.38979964354822467770375739,null,null
20407636,0,0,0,151063.22170509449813122477291158,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1722200855,0,16534875.50469040616174025750058521,16534875.50469040616174025750058521,null,null
20410717,0,217213.959504666,0,0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1722238019,0,16947095.49753971775309566588366645,16947095.49753971775309566588366645,null,null
