blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
16477039,0,0,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94be9895146f7af43049ca1c1ae358b0541ea49704,cbETH,Compound V3 WETH - Coinbase Wrapped Staked ETH,Compound III,1674567779,0,0,0,null,null
16478597,0,672958.3691300472049501901027688125,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94be9895146f7af43049ca1c1ae358b0541ea49704,cbETH,Compound V3 WETH - Coinbase Wrapped Staked ETH,Compound III,1674586559,0,510641.9220652719468701901027688125,510641.9220652719468701901027688125,null,null
16478900,0,1424778.195505512501039989778939569,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94be9895146f7af43049ca1c1ae358b0541ea49704,cbETH,Compound V3 WETH - Coinbase Wrapped Staked ETH,Compound III,1674590219,0,1895315.404587821749880326787983971,1895315.404587821749880326787983971,null,null
16479803,0,7989177.311305368971940152804398298,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94be9895146f7af43049ca1c1ae358b0541ea49704,cbETH,Compound V3 WETH - Coinbase Wrapped Staked ETH,Compound III,1674601091,0,10071047.16730472497927296495227174,10071047.16730472497927296495227174,null,null
16480024,0,1068094.324482194436228076259233263,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94be9895146f7af43049ca1c1ae358b0541ea49704,cbETH,Compound V3 WETH - Coinbase Wrapped Staked ETH,Compound III,1674603755,0,10934454.56025001786004133986846192,10934454.56025001786004133986846192,null,null
16486180,0,15.5201164131034950576632857699008,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94be9895146f7af43049ca1c1ae358b0541ea49704,cbETH,Compound V3 WETH - Coinbase Wrapped Staked ETH,Compound III,1674678011,0,11083961.14038888530403911322254455,11083961.14038888530403911322254455,null,null
16486452,0,791.8649067116645,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94be9895146f7af43049ca1c1ae358b0541ea49704,cbETH,Compound V3 WETH - Coinbase Wrapped Staked ETH,Compound III,1674681323,0,11068487.31359455163346292419108722,11068487.31359455163346292419108722,null,null
16487955,0,79.21146993907602,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94be9895146f7af43049ca1c1ae358b0541ea49704,cbETH,Compound V3 WETH - Coinbase Wrapped Staked ETH,Compound III,1674699467,0,11244404.07387298795463227044195822,11244404.07387298795463227044195822,null,null
16502221,0,0,0,78.15820534768450735686,0xa17581a9e3356d9a858b789d68b4d866e593ae94be9895146f7af43049ca1c1ae358b0541ea49704,cbETH,Compound V3 WETH - Coinbase Wrapped Staked ETH,Compound III,1674871631,0,11501051.71191665004246142741312709,11501051.71191665004246142741312709,null,null
16524452,0,34.87725546551032226211,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94be9895146f7af43049ca1c1ae358b0541ea49704,cbETH,Compound V3 WETH - Coinbase Wrapped Staked ETH,Compound III,1675139687,0,11348045.56814000152333918715185803,11348045.56814000152333918715185803,null,null
