blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
16477122,0,1620.809422107691116270090352845722,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674568775,0,0,0,null,null
16477815,0,0,0,641.9834971905112071295093348832174,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674577127,0,1620.809422107691116270090352845722,1620.809422107691116270090352845722,null,null
16478876,0,51199.25470000388985136615768229133,0,6527.155771047126133270570282868826,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674589931,0,13369.08935794074536323940993419487,13369.08935794074536323940993419487,null,null
16478938,0,201694.6492977836234236496082531443,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674590687,0,45640.23324558612511023770287720316,45640.23324558612511023770287720316,null,null
16479769,0,30973.261951406248607833265531025,0,30973.261951406248607833265531025,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674600683,0,268360.821977405852179332670625715,268360.821977405852179332670625715,null,null
16479956,0,8543577.331429714,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674602939,0,237387.56002599960357149940509469,237387.56002599960357149940509469,null,null
16480165,0,2013702.730398672792151784366873231,0,2005942.713305483707614404428030432,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674605447,0,10838803.62179048660591559818284074,10838803.62179048660591559818284074,null,null
16486307,0,47.908405240536969792331627200813,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674679571,0,8832860.908485002898301193754810312,8832860.908485002898301193754810312,null,null
16486745,0,1621.272477291235853460731723937822,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674684863,0,8968023.86929374183361226090085322,8968023.86929374183361226090085322,null,null
16488759,0,4027.297285199388874616340807977568,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674709175,0,9173613.001440381126360445323314461,9173613.001440381126360445323314461,null,null
16489000,0,403.7193911270754187472447257025218,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674712067,0,9175223.920354460881911361600979867,9175223.920354460881911361600979867,null,null
16489776,0,802245.3082696019921808046409635008,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674721475,0,9633029.599362039109627398305057028,9633029.599362039109627398305057028,null,null
16490310,0,74630.57301122978054246658736012674,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674727919,0,9921618.531603784445843930331387101,9921618.531603784445843930331387101,null,null
16492428,0,1909.467061151519852637637846337669,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674753431,0,10022276.08673376015202988017292462,10022276.08673376015202988017292462,null,null
16502461,0,194064.5710619441472852460550912477,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674874523,0,10116388.80125219546061916855614907,10116388.80125219546061916855614907,null,null
16502528,0,2389.827381671426432351476508496486,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674875327,0,10144892.35115395387811614399810756,10144892.35115395387811614399810756,null,null
16506137,0,10186.34212885841980091202991660806,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674918815,0,10147282.17853562530454849547461606,10147282.17853562530454849547461606,null,null
16507494,0,39175.58331984108512976975716945139,0,39175.58331984108512976975716945139,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674935171,0,10028515.98415212556702722458031209,10028515.98415212556702722458031209,null,null
16509992,0,801.3962506844089145393975010204934,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1674965291,0,9989340.40083228448189745482314264,9989340.40083228448189745482314264,null,null
16516278,0,8.245289963270158695501024488956737,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1675041167,0,10219482.61064472571607360216655255,10219482.61064472571607360216655255,null,null
16521556,0,25888.98458818647377431186531820873,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1675104803,0,10038415.93899904517513307708658339,10038415.93899904517513307708658339,null,null
16521834,0,12391.2846608835427952250060144288,0,47.8326732396015918733066549770606,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1675108139,0,10052515.7172190620154489013897795,10052515.7172190620154489013897795,null,null
16522654,0,0,0,45659.41198230444377558373727492325,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1675118039,0,9892877.810902183208653294056937785,9892877.810902183208653294056937785,null,null
16525428,0,167408.0252220117970778024163058272,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1675151471,0,10115563.55516168982326627626363495,10115563.55516168982326627626363495,null,null
16527266,0,0,0,1889.527604327175487184283401082855,0xa17581a9e3356d9a858b789d68b4d866e593ae947f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 WETH - Wrapped liquid staked Ether 2.0,Compound III,1675173659,0,10139031.96991243914061372890691609,10139031.96991243914061372890691609,null,null
