blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20266526,0,0,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1720498967,0,0,0,null,null
20294542,0,0.000583124033222016,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1720836959,0,0,0,null,null
20336221,0,515640.4837077671616624,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1721339627,0,0.000583124033222016,0.000583124033222016,null,null
20350528,0,4003500.887043773244476788,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1721512115,0,2455538.69193821344124528,2455538.69193821344124528,null,null
20358592,0,1357761.010325024,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1721609327,0,4539109.992439969425385144,4539109.992439969425385144,null,null
20359303,0,339440.252581256,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1721617883,0,5960391.185894296225099488,5960391.185894296225099488,null,null
20363942,0,468960.9662303376877787,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1721673911,0,6299831.438475552225099488,6299831.438475552225099488,null,null
20368252,0,72031.94823878408662944979828,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1721725919,0,6685866.205305886363843514105334,6685866.205305886363843514105334,null,null
20373599,0,347425.27207446552987795,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1721790323,0,6726492.520499151882405603419224,6726492.520499151882405603419224,null,null
20380725,0,0,0,408717.245539040585417568,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1721876303,0,6936545.5508525811621786,6936545.5508525811621786,null,null
20380972,0,254960.714410392255074316,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1721879267,0,6374009.509085692915668,6374009.509085692915668,null,null
20394776,0,0.67741210566582,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1722045803,0,6615659.536399814008152816,6615659.536399814008152816,null,null
20395885,0,0.675775838051635884942,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1722059231,0,7031376.21324854089911432,7031376.21324854089911432,null,null
20402362,0,657.53386530981657341328891,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1722137327,0,7014392.821150990719263202024792,7014392.821150990719263202024792,null,null
20409478,0,0,0,549982.0914865984,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1722223007,0,6923401.87179432399852748,6923401.87179432399852748,null,null
20409730,0,276.395562509433100664,0,276.394875031818742416,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1722226103,0,6586814.236321291911628144,6586814.236321291911628144,null,null
20410018,0,0,0,277165.109184837960365538168,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1722229607,0,6586537.841446260092885728,6586537.841446260092885728,null,null
20412246,0,561830.84887637835308424464,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae942260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,null,Compound III,1722256427,0,7009159.95943607432827483585772,7009159.95943607432827483585772,null,null
