blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20198047,0,0,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1719672647,0,0,0,null,null
20218367,0,1024023.39084738759859919332166808,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1719917675,0,0,0,null,null
20219610,0,3483.5374182683567,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1719932723,0,1024023.39084738759859919332166808,1024023.39084738759859919332166808,null,null
20220089,0,511278.9247936637155941258427913158,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1719938531,0,1033472.669085211327258024693357172,1033472.669085211327258024693357172,null,null
20220953,0,409218.807493354113241207574736242,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1719948971,0,1534229.943685285709956638988095622,1534229.943685285709956638988095622,null,null
20221226,0,1703150.8438299691688981921194394,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1719952271,0,1942864.233471778474444025153403318,1942864.233471778474444025153403318,null,null
20230584,0,68.17834151860526952688032284955,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1720065143,0,3646015.077301747643342217272842718,3646015.077301747643342217272842718,null,null
20233011,0,0,0,627790.111541837393151450151648,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1720094411,0,3463835.460563774897829962715051973,3463835.460563774897829962715051973,null,null
20274124,0,76.1786816823263061233529373338,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1720590707,0,2766109.533137570980886099755161019,2766109.533137570980886099755161019,null,null
20296073,0,3757.0959644951305369007703306372,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1720855475,0,2718905.767549310503695864742195668,2718905.767549310503695864742195668,null,null
20297195,0,3143946.741865590962835673579696873,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1720868975,0,2743993.960218568949893380001944373,2743993.960218568949893380001944373,null,null
20311772,0,0,0,341110.031844492,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1721044811,0,5902422.299072535230172080305797495,5902422.299072535230172080305797495,null,null
20323779,0,12250.23627734861474638983847920662,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1721189555,0,5960469.164023297222460769532182941,5960469.164023297222460769532182941,null,null
20334084,0,169217.1601374566267755752852436567,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1721313875,0,6215638.126276748339477165173960397,6215638.126276748339477165173960397,null,null
20340112,0,0,0,16171.43095406065499662284617999054,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1721386487,0,6326468.299850408593791837990867346,6326468.299850408593791837990867346,null,null
20346821,0,0,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1721467391,0,6263315.369584269043809405023220677,6263315.369584269043809405023220677,null,null
20363735,0,831086.6453545334925926706992578847,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1721671403,0,6263315.369584269043809405023220677,6263315.369584269043809405023220677,null,null
20366003,0,0,0,2664934.532662096052933832492877491,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1721698763,0,7154793.041830688139055462630519235,7154793.041830688139055462630519235,null,null
20384306,0,313577.1300588707975175035431833106,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1721919455,0,4433726.819178186460034904536680561,4433726.819178186460034904536680561,null,null
20389127,0,4449.762187880781853732048425109315,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1721977655,0,4399267.426626145312746282170198218,4399267.426626145312746282170198218,null,null
20410984,0,0,0,165516.6831060443933955591375395283,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,null,Compound III,1722241223,0,4547341.404119861347547551218192403,4547341.404119861347547551218192403,null,null
