blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
18591647,0,0,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1700224691,0,0,0,null,null
18596451,0,3915.55955280430548520739064,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1700282819,0,0,0,null,null
18626245,0,10190.0578469220269588451681927939,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1700643575,0,3915.55955280430548520739064,3915.55955280430548520739064,null,null
18626282,0,0,0,10190.0578343438988741916668434509,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1700644043,0,14186.0308382133527023411033285644,14186.0308382133527023411033285644,null,null
18711031,0,114973.030154789858319542059829355,0,114973.030131131111107709433572641,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1701669071,0,119487.39093053043259793136356372,119487.39093053043259793136356372,null,null
18744819,0,75.0195944828843950818177525575,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1702078259,0,4514.360799399321490221929991079,4514.360799399321490221929991079,null,null
18911780,0,20.3370601235392584456766358562,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1704102275,0,4824.3295347192200915425854515362,4824.3295347192200915425854515362,null,null
18937508,0,113.4702644140370888134469269033318,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1704414335,0,4690.0102852317231159552320744086,4690.0102852317231159552320744086,null,null
19010871,0,2.78251825957806468,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1705304603,0,4781.936443901961308538408895172221,4781.936443901961308538408895172221,null,null
19040097,0,27.031799573080442686,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1705657571,0,5281.882523285242093535525667525048,5281.882523285242093535525667525048,null,null
19047872,0,271.17582268797160366,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1705751219,0,5209.624120000486251552857858371012,5209.624120000486251552857858371012,null,null
19061942,0,0,0,287.9632975411823827507450565079213,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1705922411,0,5497.332160585246155320245875867017,5497.332160585246155320245875867017,null,null
19138889,0,294281.3874437554968632682888841414,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1706854727,0,5018.992536472497963574999476777096,5018.992536472497963574999476777096,null,null
19150278,0,11846.7210945127256366183028258198,0,11846.72108299519907978419873904741,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1706992967,0,311620.3234222023292780472238774066,311620.3234222023292780472238774066,null,null
19307784,0,90823.611170802876671254152015099,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1708902647,0,299773.6023392071301982630251383592,299773.6023392071301982630251383592,null,null
19394564,0,20115.67384891639454824217487690621,0,20115.67380140143181255019309436124,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1709951363,0,642960.6236251339527899958070561725,642960.6236251339527899958070561725,null,null
19495406,0,330.73035368319,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1711174007,0,622844.9498237325209774456139618113,622844.9498237325209774456139618113,null,null
19561653,0,888.6538271299527133243917692568,0,888.6537721549999960971715422453,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1711982663,0,569394.419961645732703189276585401,569394.419961645732703189276585401,null,null
19613531,0,1107.741182323727346244303701810864,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1712610587,0,568505.7661894907327070921050431557,568505.7661894907327070921050431557,null,null
19675392,0,149016.9226074986389423659391472608,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1713359303,0,590978.623701014019591738574895002,590978.623701014019591738574895002,null,null
19695886,0,23008.67855343379754193030297665,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1713607151,0,639474.8393236197116272823413587952,639474.8393236197116272823413587952,null,null
19717746,0,31.6992618349576828661234812932,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1713871091,0,660956.9954312160397450751811600925,660956.9954312160397450751811600925,null,null
19736786,0,0,0,153755.832411810573511407192726,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1714101263,0,687362.9955360596315135530209521076,687362.9955360596315135530209521076,null,null
19761982,0,947.32485608392612947368694234,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1714405979,0,529883.759515881162312971217288,529883.759515881162312971217288,null,null
19762332,0,836.96151035014873475298864246,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1714410203,0,531956.710592964887527163012210532,531956.710592964887527163012210532,null,null
19762923,0,745.755141793280307069469507700688,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1714417343,0,532793.672103315036261916000852992,532793.672103315036261916000852992,null,null
19769138,0,1317031.803349103483197218348,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1714492331,0,1614105.27442129464146933866739891,1614105.27442129464146933866739891,null,null
19769368,0,335490.842516278337637,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1714495103,0,1983394.121850153009678202047299736,1983394.121850153009678202047299736,null,null
19805281,0,0,0,406688.032912864657219211450699616,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1714928915,0,2140896.683527594931206202047299736,2140896.683527594931206202047299736,null,null
19826649,0,2665707.476365931786253862299823204,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1715187143,0,1872182.075436421343886837643599504,1872182.075436421343886837643599504,null,null
19826794,0,9954040.867192598803009165178310352,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1715188907,0,12854098.35456158825847206430835625,12854098.35456158825847206430835625,null,null
19833465,0,0,0,2399.46286834299999730825398,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1715269487,0,14424197.12707925520890579773746,14424197.12707925520890579773746,null,null
20028208,0,2682.724403539060875067482128291,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1717621619,0,14423505.00454001220890848948348,14423505.00454001220890848948348,null,null
20100852,0,3566.763118951251897944320308419128,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1718498723,0,18678728.87410228696309640025652182,18678728.87410228696309640025652182,null,null
20248399,0,0,0,25428.06419436581679959893458,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1720280135,0,17233777.4299481037968295880283833,17233777.4299481037968295880283833,null,null
20262923,0,296.9784747927875344656678266221675,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1720455359,0,14633656.95600443577191693396238,14633656.95600443577191693396238,null,null
20302278,0,0,0,3195.759495025540466427680074694127,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1720930379,0,14435296.29599081882370768293657731,14435296.29599081882370768293657731,null,null
20320927,0,0,0,19.34447849431356,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1721155235,0,15411510.21662658939115028610221245,15411510.21662658939115028610221245,null,null
20321250,0,0,0,73698.594167635800888,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1721159147,0,16732385.30176687067748744777023053,16732385.30176687067748744777023053,null,null
20355399,0,97.89616903732725,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1721570759,0,16732195.72587762640459944777023053,16732195.72587762640459944777023053,null,null
20357664,0,0,0,2440.748197176650139091182956188395,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1721598119,0,16935347.52440447458871157050175918,16935347.52440447458871157050175918,null,null
20411471,0,0,0,25891.28923829770630027600123519312,0xa17581a9e3356d9a858b789d68b4d866e593ae94ae78736cd615f374d3085123a210448e74fc6393,rETH,null,Compound III,1722247103,0,16888052.83357953276660517710974471,16888052.83357953276660517710974471,null,null
