blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20311923,0,0,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721046635,0,0,0,null,null
20312488,0,3411.100002396095698310519264334197,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721053439,0,0,0,null,null
20321486,0,3206.370772688551961782687043497824,0,3214.4165116814999966510985270996,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721161979,0,6734.614173843150415028021815616328,6734.614173843150415028021815616328,null,null
20321679,0,131587.54859264986,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721164307,0,101564.6839197513899624639090161909,101564.6839197513899624639090161909,null,null
20323641,0,1073190.569244145035166518896740624,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721187899,0,1114200.875849692941085980842437817,1114200.875849692941085980842437817,null,null
20324037,0,252638.82134941511795192856,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721192663,0,1209471.939792510600275391271970104,1209471.939792510600275391271970104,null,null
20326287,0,2080547.10251185026344518943852857,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721219771,0,1463260.693998356244957986618892455,1463260.693998356244957986618892455,null,null
20326637,0,440935.928926069068370814817195773,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721223983,0,3919513.516695623998829846147376058,3919513.516695623998829846147376058,null,null
20333546,0,481518.8172129868779136092168533188,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721307395,0,4339018.226475436767563215683525116,4339018.226475436767563215683525116,null,null
20333613,0,147857.4716037438563575114164381187,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721308199,0,4532068.737664595550957235642964956,4532068.737664595550957235642964956,null,null
20334134,0,273672.465423518672867411954946538,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721314475,0,4594247.361297871081059371906271118,4594247.361297871081059371906271118,null,null
20337656,0,1447106.04262400496236455535539824,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721356919,0,6202447.140049934986102856524187306,6202447.140049934986102856524187306,null,null
20338323,0,297598.115982334175175556273656192,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721364947,0,6522625.441028330651540522584869307,6522625.441028330651540522584869307,null,null
20338504,0,56553.909169816776441954038280244,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721367119,0,6580843.440767256229799948521502733,6580843.440767256229799948521502733,null,null
20339484,0,111450.2396836394857869376211365909,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721378951,0,6705971.883407894011838811801628014,6705971.883407894011838811801628014,null,null
20343204,0,2567647.06634641355072,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721423759,0,6748867.194785515294723823096419199,6748867.194785515294723823096419199,null,null
20344636,0,57465.54530725321221086674107420184,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721441027,0,9463317.843131129546877583559807702,9463317.843131129546877583559807702,null,null
20358535,0,0,0,888825.805684656,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721608631,0,9555697.502388313905542625511525369,9555697.502388313905542625511525369,null,null
20358916,0,564394.3439790009250595890564857062,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721613215,0,8826110.613591059103022019536323505,8826110.613591059103022019536323505,null,null
20359122,0,0,0,504515.468659552,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721615699,0,9323638.260586631044429177318469729,9323638.260586631044429177318469729,null,null
20364416,0,619971.0890914460681109527703505298,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721679635,0,8819124.537826173967908007501713845,8819124.537826173967908007501713845,null,null
20375213,0,302676.2981553190039581462583525432,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721809787,0,9299804.620113468324821695920244565,9299804.620113468324821695920244565,null,null
20379337,0,119675.92070975570946281790937807,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721859575,0,9479426.892944371391406168455799573,9479426.892944371391406168455799573,null,null
20385604,0,0,0,1061882.98331680771110564,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1721935115,0,7995052.090236612911679752042187093,7995052.090236612911679752042187093,null,null
20394772,0,0,0,1232930.620873363042553824325001088,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1722045755,0,7619451.864481058448259431578165475,7619451.864481058448259431578165475,null,null
20396378,0,2674087.55311128870775667999395723,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1722065183,0,6748655.925571794213279934473458304,6748655.925571794213279934473458304,null,null
20399576,0,0,0,124939.484636489775,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1722103703,0,9398973.300795780667480016595621637,9398973.300795780667480016595621637,null,null
20400122,0,0,0,1974663.957553565699998329108613011,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1722110303,0,9348997.506941184757480016595621637,9348997.506941184757480016595621637,null,null
20402362,0,724.9023528242520921381338943124541,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1722137327,0,7374388.617492361768917082890531995,7374388.617492361768917082890531995,null,null
20403826,0,8035.355323010866975186530423662408,0,8035.355314039427578436047521550894,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1722154991,0,7258886.192635818223122589163517536,7258886.192635818223122589163517536,null,null
20405989,0,1371134.08403192872893320958186163,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1722181055,0,8702419.998314723988987175708721916,8702419.998314723988987175708721916,null,null
20411332,0,0,0,121651.0187451828902467964472428172,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,null,Compound III,1722245423,0,8702419.998314723988987175708721916,8702419.998314723988987175708721916,null,null
