blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20198057,0,0,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,null,Compound III,1719672767,0,0,0,null,null
20218427,0,4577364.715154679830077739070921309,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,null,Compound III,1719918395,0,1362106.897144022630077739070921309,1362106.897144022630077739070921309,null,null
20220567,0,31.303900453029937877110956288,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,null,Compound III,1719944279,0,4577364.715154679830077739070921309,4577364.715154679830077739070921309,null,null
20233011,0,0,0,329091.51327388,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,null,Compound III,1720094411,0,4551490.24579041690895795812167388,4551490.24579041690895795812167388,null,null
20239488,0,2.056611799007833984166098076159405,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,null,Compound III,1720172663,0,3887503.528236809930602530120974468,3887503.528236809930602530120974468,null,null
20241829,0,7150.1766235270482270886020210342,0,7150.176592469792680127582529158904,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,null,Compound III,1720200875,0,3679514.188748410315540367742032194,3679514.188748410315540367742032194,null,null
20253347,0,0.0936261991524378269452640256,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,null,Compound III,1720339763,0,3672364.012155940522860240159503035,3672364.012155940522860240159503035,null,null
20261265,0,228696.28612928928520934,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,null,Compound III,1720435343,0,3703800.919985592767802584696931507,3703800.919985592767802584696931507,null,null
20305735,0,798.3282580417888501153714611696,0,798.3282309607317053234377527732,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,null,Compound III,1720972055,0,4173919.14996397187221113510637334,4173919.14996397187221113510637334,null,null
20308618,0,7303617.204142927065502722913178604,0,0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,null,Compound III,1721006807,0,4173120.821733011140505811668620567,4173120.821733011140505811668620567,null,null
