blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
7711117,27.7974340750000025,240.9483429217195021236734275106047,0,0,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1557197308,27.7974340750000025,240.9483429217195021233954531698547,240.9483429217195021233954531698547,0.617614876718418,5.948322052710042
7711781,0,0.1752168615777298404458029751975232,0,0,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1557206685,27.63199294725423047573896809333907,239.685812964607831632793626443023,239.685812964607831632793626443023,0.609026925242791,5.86981080550875
7755048,0,90.82679802052947067187101582183136,0,0,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1557791275,28.5252844183735107462491509358795,338.0123747207970830844352424596678,338.0123747207970830844352424596678,0.383751514725436,5.052545231056063
7758375,0,4.41625575780192195,0,0,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1557835123,29.47740065912973470959509581386727,353.6876543145851455615584753740932,353.6876543145851455615584753740932,0.383739170033572,5.115926998854344
7759114,0,0.089308582330920168,0,0,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1557845768,29.80609199033023665758484559825299,357.7155671876857210874287305680967,357.7155671876857210874287305680967,0.379146575217092,5.055887839552176
7778085,0,0.308573407015654929,0,0,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1558100922,30.9077857011100497156546511882212,371.1067745902051824247163058091561,371.1067745902051824247163058091561,0.3767108190449175,5.025700152641025
7799397,0,0,4.502130405707615821659439418441874,0,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1558389200,27.76605883768547482236410202161014,387.2776463067126368125504859070375,387.2776463067126368125504859070375,0.29806056104295,4.61923647291283
7805621,0,0,0,105.481613006781721020641392739926,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1558474207,28.53406661015830869314897543807133,292.4623687346075186891601476713966,292.4623687346075186891601476713966,0.475282358374292,5.412719323334932
7807016,0,6.561150297376965317784564087517271,0,6.561150623270279066532771276533521,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1558492371,28.77567261074950127597840490933653,294.9299369484737550712577909501722,294.9299369484737550712577909501722,0.48251555028072,5.494930185311512
7810999,0,102.9839642903113557262360259551857,0,0,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1558546724,27.86193302195779072412890403724355,388.524415862963728990550862834109,388.524415862963728990550862834109,0.2996076512707005,4.642131758441139
7812112,0,6.139716322423327899141270715287741,0,0,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1558562084,26.49042644158676230694420185574977,375.5313828689394269112631545442769,375.5313828689394269112631545442769,0.289227032630625,4.5556847063900625
7815473,0,13.53062929655270129158792725750978,0,0,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1558607790,25.75089425350718063095044911082705,378.5558224980976187128801661281629,378.5558224980976187128801661281629,0.2734462731432345,4.466497695763153
7815776,0,1114.225408977649036457728585521331,0,534.388680532325432937901334509877,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ZRX,Compound 0x,Compound v2,1558611852,26.03325508821626430511066952236186,962.5415582989495290801919978457258,962.5415582989495290801919978457258,0.075657570830656,3.10814233566912
