blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
12960086,0,0,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628099595,0,0,0,0,2.2031249999700375
12961446,142.53989778,5124.366661254146070269692915,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628117801,142.53989778,5125.828553776315138243379244,5125.828553776315138243379244,0.0608937469470225,2.91970564294899
12962087,0,108.2813667208,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628126940,142.67934220148887004664,5239.08421601950704817134,5239.08421601950704817134,0.058776900555776,2.877661460135488
12962437,0,264.699894327256051281326425,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628131518,147.38905888358414873704245,5676.69850607141290863245568,5676.69850607141290863245568,0.0556770302915335,2.8592055812797705
12962686,0,937.56721451365669,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628135121,148.902560096430271696937626,6672.541120595188368638813352,6672.541120595188368638813352,0.0461157952681595,2.7553548237281855
12964175,0,2187.586032933960856519861044,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628155751,147.199704130214335849712052,8783.704758976190334179602188,8783.704758976190334179602188,0.032049888633433,2.549975783133222
12965522,0,495746.8299,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628174030,157.97383980576996754089,505173.30741840739774511493,505173.30741840739774511493,0.0005108437875555,2.178121906897853
12969095,0,3624.67747,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628221996,152.249009365272100089867014,490474.354557350224369943440767,490474.354557350224369943440767,0.0005232964659835,2.247752689451768
12971640,0,0,0,2282.113435455633544770564084,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628255809,153.571601175829869186367785,492440.990386444259559323184483,492440.990386444259559323184483,0.000525987404649,2.248834451430945
12971959,0,513.628400351,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628260498,154.436376748743476200944005,495726.090827772900521436992502,495726.090827772900521436992502,0.000520801494212,2.228965297141998
12973731,0,1855598.58,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628284249,155.89003474707102391032972,2355982.312909834209226932074736,2355982.312909834209226932074736,0.000110620176605,2.2290886260901925
12976332,0,340614.04,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628318286,158.80085444217091732388,2740528.45108691390372189416,2740528.45108691390372189416,0.00009822392579,2.2601529556592525
12977943,7927.06992,0,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628339616,8093.566161274268016483396024,2873288.628715697710883201468016,2873288.628715697710883201468016,0.0049320343021075,2.3345553562685025
12980274,0,0,7519.7047,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628370223,158.11578865440102136299783,2725632.95998631039444937643058,2725632.95998631039444937643058,0.0000992115813705,2.280306647479436
12988432,0,2093976.164174312,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628478723,148.389521108895855530721566,4651747.07389559996815930476556,4651747.07389559996815930476556,0.000054381778656,2.273037659138832
12989936,0,483.56241738752047336712,0,0,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628499227,151.0372192218453149736,4735163.49033983339020141416,4735163.49033983339020141416,0.00005396983878,2.256017593321485
12991067,0,0,0,507.130990112434357406275548,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628513766,158.400397043735570034945192,4965445.686990241528947306368424,4965445.686990241528947306368424,0.000053959381749,2.255322991162156
12991864,0,2486294.522945058671715907199531,0,159.390377459630599151481846,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,AAVE,Compound Aave Token,Compound v2,1628524558,159.412042597825106569353501,7483255.409935684259724568288481,7483255.409935684259724568288481,0.0000359287357625,2.2488026922725
