blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
12485775,0,0,0,0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621708768,0,0,0,0,2.2371527777473525
12486230,1249.089,5343.58677224562674020196004,0,0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621714943,1249.091342856065565143856,5343.58852938767591403487026,5343.58852938767591403487026,1.4222948691963055,8.1127331400497125
12486523,0,705.769351771823451982163358,0,0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621718648,1189.654967154616877963594304,5795.047757037139132635711324,5795.047757037139132635711324,1.1431254640894725,7.4245242989264165
12486962,1270086.772259197197585594,1999107.96103754649480114833697,0,0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621724334,1271282.358565883219045223495312,2004907.457299232187370295195004,2004907.457299232187370295195004,8.6895255437116,18.272043128577485
12487213,3419027.3718,3882131.564635406708764272795816,4758.5628,0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621727459,4685618.181619852786768088630718,5887089.282475116071926865547462,5887089.282475116071926865547462,13.4002646707769175,22.448423087977305
12487502,0,97618.379068760235610735704456,0,0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621731389,4685746.282468271208943202866554,5984803.73718019012416899641083,5984803.73718019012416899641083,12.978558038615565,22.10224169812351
12487780,0,21546.786562715888411542997382,0,0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621735005,4685867.665229091436436853109098,6006441.560813521183200824675748,6006441.560813521183200824675748,12.896559714269601,22.041434029372826
12487996,922.55999999907890979756,1979.16715020202968209340159,0,0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621738091,4686884.35051528707543193570389,6008491.321928370632946905646246,6008491.321928370632946905646246,12.8657184123379725,21.9914557734916055
12488208,0,27326.379104780769509830527006,0,9842.767249203415485439207938,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621741298,4686976.557306339619913466127506,6026044.088877237395332492368654,6026044.088877237395332492368654,12.7359305875159395,21.8327752218600235
12488550,951712.56,1043437.01913495405922699249965,0,0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621745752,5638856.130441569108839546833462,7069606.367863613571254223843876,7069606.367863613571254223843876,13.446571144870031,22.47783659051922
12488819,0,168956.8791039420247906770912,0,0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621749327,5770363.345067754551957270292735,7403364.350122454847445530426705,7403364.350122454847445530426705,12.868161870158045,22.01310042241354
