blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
11072739,0.01580470447310505166,0.06838970447310505166,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602928639,0.01580470447310505166,0.06838970447310494649,0.06838970447310494649,1.4944463648105555,8.0834116057693975
11073023,21.034,216293.97301699232856468814,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602932228,21.04981417643424082997,216294.04141427437057853072,216294.04141427437057853072,0.000175909487,2.25941546911925
11073259,0,522.97705026414954037334,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602935495,21.04986148615266273461,216817.01850238629485646984,216817.01850238629485646984,0.00017494532928,2.25245748510648
11073496,59.630489417777702671,3489.64066448773406465991,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602938053,80.68046968997098989893,220306.65926190286142095578,220306.65926190286142095578,0.00066957072702,2.2854188738703375
11073802,0,772.98345004962030010113,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602942170,80.68070551355444653309,221079.64290061134848642734,221079.64290061134848642734,0.00066691681056,2.2843401714315
11074056,0,865.70168746663608661005,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602945754,80.68090126159696686456,221945.3447446764185893236,221945.3447446764185893236,0.000662075932725,2.276633633954445
11074155,0,633.99074782637610672799,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602947125,80.68097755606292814085,222579.33555353836746511469,222579.33555353836746511469,0.0006584642967435,2.2706803822083225
11074481,0,1603.92409162642588623588,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602951554,80.68122878575886377459,224183.25984614855009989963,224183.25984614855009989963,0.000653033813275,2.268174034963951
11074908,0,6.52054,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602957062,80.68155784177096987704,224189.78064939335978478159,224189.78064939335978478159,0.000654021143604,2.271660086340144
11075196,0,1622.61327924744780204902,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602961101,80.68177977844000283111,225812.39410619014281353041,225812.39410619014281353041,0.000647610408799,2.265667785599768
11075366,0,585.91515337800903253991,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602963499,80.68191078138289113041,226398.30936437050615681493,226398.30936437050615681493,0.0006451336906775,2.262855411271405
11075479,0,458.94646304929510115586,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602964957,80.68199785908297145279,226857.25589708196132231283,226857.25589708196132231283,0.0006440223629865,2.263534363800453
11075917,0,16020.61504095228134998897,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602971072,80.68233535617655711311,242877.87120803191754106143,242877.87120803191754106143,0.000597588656394,2.248650079948852
11076258,0,550.09186694873927344829,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602974997,80.68259806066614316539,243427.96328514424848343568,243427.96328514424848343568,0.00060584574567,2.284876947830488
11076550,0,511.64170502432014631422,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602978892,80.68282301467781106233,243939.60517013177796410952,243939.60517013177796410952,0.0006030045403005,2.278934426696772
11076841,1030950,1529241.664607426180280736035,0,0.06704039459675259981,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602982705,1031041.180948052104507923075,1768377.95583221261373626448,1768377.95583221261373626448,8.021403662870052,17.197268250131424
11077095,0,280589.052602157566313456135,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602986336,1031059.89307315844385942501,2048981.97813445525153180878,2048981.97813445525153180878,6.073435450963749,15.086853669016151
11077312,515.475,573117.247997315687032286445,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602989314,1031587.83702673432634360376,2622109.201294631644552262985,2622109.201294631644552262985,3.851908216099664,12.238565168918368
11077616,309.285,4800.02409676613898842454,20.62073243750022215379,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602993596,1031892.689834061529239914175,2626922.17622320954603585065,2626922.17622320954603585065,3.8322949402940725,12.194994527880438
11077748,0,136.14745295326878841284,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602995289,1031899.711742963533535916915,2627063.94120328441826110692,2627063.94120328441826110692,3.836105675882776,12.20769661661442
11078099,0,91613.20739787572408946171,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1602999749,1031918.219429109214982533155,2718691.954750076687508212145,2718691.954750076687508212145,3.615059869055688,11.905296850992721
11078412,0,3313.86311374411487898195,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1603003980,1031934.41204538747033309402,2722018.771956843406668096405,2722018.771956843406668096405,3.6021785683228455,11.8772055287312705
11078614,0,55401.020895623052470806755,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1603006811,1031944.76871898024871044902,2777428.078191340681841096445,2777428.078191340681841096445,3.467445656509917,11.665572153560934
11078962,0.1175283,142.211931832533200173419625,0.089413093511495554322273,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1603011411,1076456.138148346435490754073344,2897340.070853562364777716841242,2897340.070853562364777716841242,3.471480317350476,11.679596911334361
11079193,0,2475.005987469759860639121011,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1603014885,1076468.390734387925416637001283,2899824.878909865316579298892602,2899824.878909865316579298892602,3.449632364696004,11.615912088987597
11079409,0,19.63029227046055,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1603017826,1076479.840097501295448219033317,2899853.668692626473154586026229,2899853.668692626473154586026229,3.396261614079852,11.436189205810635
11079740,0,5512.296702851174350679427583,0,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1603022393,1076497.372115085699285024887726,2905379.991009545170575054265336,2905379.991009545170575054265336,3.380975534404146,11.406226947726828
11080005,0,261.32389916109851270002645,60.986192200884543792963708,34.83802065572812719402667,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1603025694,1076450.409839242815996606648962,2905617.696021136941965096633069,2905617.696021136941965096633069,3.397227523213662,11.462493207950244
11080307,5429.909629508,936.233220683176431701851263,5376.99995,0,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,COMP,Compound Collateral,Compound v2,1603029440,1076519.325825923988915124449735,2906566.734287558656731870820948,2906566.734287558656731870820948,3.419536920794582,11.540796368564666
