blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
7710960,0,4013.962940167102266494,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557195125,0,4013.962940167102266493,4013.962940167102266493,0,5.2508680553737495
7711756,0,0.179032623703143371,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557206189,0,4014.141972790805409864,4014.141972790805409864,0,5.376736110924947
7715078,200,0,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557250631,200,4014.141972790805409864,4014.141972790805409864,0.278995389513291,6.221817240894255
7716039,0,10.01967779736506729,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557263981,200.3986835675663490435573025168944,4032.065212679927872473581438015644,4032.065212679927872473581438015644,0.2766276945540025,6.1842328190601775
7718129,2.024999999897327602649407429696814,40.02042416929530716,0,40.02042633740341378803326465023108,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557292687,202.143373554007912320058544522188,4026.211341982583715981406032784286,4026.211341982583715981406032784286,0.2795688795935355,6.187046429701247
7719755,0,9.96314529232616324,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557314605,201.304319753161732767110839909915,4019.296674279573079773876155842338,4019.296674279573079773876155842338,0.276666542570496,6.137776960496388
7719916,0,100.1428206365161946,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557316839,202.3384007945119760941868481907522,4140.069690593731915124784621434714,4140.069690593731915124784621434714,0.2692321696456055,6.1208788009332285
7721275,1501.2584324283758565,1701.4262234188259707,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557334909,1703.485378141125524108821885709176,5839.066694058566034618183399450526,5839.066694058566034618183399450526,2.461050257419014,9.3730945682047725
7722116,0,247.9294283402050065,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557347036,1688.017900392571200039398931996176,6033.832888646317362614524779875747,6033.832888646317362614524779875747,2.309478485023837,9.172498332393632
7722736,0,0,0,500.1171230547097916516536159700938,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557354959,1702.517546615670404373948905774488,5585.43264535736098876953583791423,5585.43264535736098876953583791423,2.624985373489098,9.56862645830709
7723861,0,1761.0804929795550258693774,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557370400,1691.232508444123813734857126610293,7309.304919195940641656067351256906,7309.304919195940641656067351256906,1.7979408576645425,8.633872955860015
7728100,128.6236811495906317017434808105548,0,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557428151,1818.329081870559988848162679508607,7301.798492929272626528102606790392,7301.798492929272626528102606790392,1.980887356850909,8.83841988137482
7728199,0,0,0,1660.022567426009448161024412409354,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557429683,1818.335921703996428069052875826322,5641.782081353355973666077867728622,5641.782081353355973666077867728622,2.840577363953535,9.792786837905057
7728446,0,0,0,248.1048280434286671336573491747599,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557432789,1818.137228427278080526818210787943,5393.019042197287412850271797730625,5393.019042197287412850271797730625,3.038530491673908,10.0144334212019965
7729817,99.42362901414350695526582215788358,0,100.0145389235268246836375697567122,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557451254,1810.440706592458131477429585824573,5371.721241693922811694374980164855,5371.721241693922811694374980164855,3.027271850813784,9.980173118343148
7732676,0,0.985732771674660711,0,0,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557489427,1805.726409383921534894753058609739,5358.260261019864555785785059419703,5358.260261019864555785785059419703,3.0625518910942805,10.0974753372196855
7733761,0,0,0,10.05080732984328591978395977535892,0xf5dce57282a584d2746faf1593d3121fcac444dc,DAI,Compound Dai,Compound v2,1557504835,1840.997732650103733198333237149689,5452.694924480507505330031041179125,5452.694924480507505330031041179125,3.050335239002284,10.038365598761294
