blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
12949662,0,0,0,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1627957280,0,0,0,0,2.238194444414005
12958656,0,0,0,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1628080497,0,0,0,0,2.190972222192425
12961448,147.644,5257.493468123707221448200418,0,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1628117821,147.644,5200.88573583764182101832,5200.88573583764182101832,0.0624729842045925,2.9342188271180925
12961881,0,464.1952059784,0,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1628124098,148.3698063276763572407,5690.62028947368369413988,5690.62028947368369413988,0.0559106842891225,2.859220326729022
12962446,0,250.762771879200586827408018,0,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1628131735,146.723916747744899965443742,5878.217762731503307896748179,5878.217762731503307896748179,0.0529748328810015,2.8297827279397305
12965636,0,3022.8276179217125,0,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1628175547,150.5199331302811025585025,9052.89565020405684320436,9052.89565020405684320436,0.0321596008539595,2.578949786733214
12988634,8970.06454036,0,8970.06454036,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1628481596,156.371349767850639497947564,9399.452683499118435076358092,9399.452683499118435076358092,0.03363639669969,2.69583673075317
12991957,0,323107.592804569676720602591728,168.58330585262531605546584,322.251671498504408746968528,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1628525720,0.05286596959597148459448,332921.657482524811660665667584,332921.657482524811660665667584,0.000000267616686,2.2489623508627845
13000815,0,61419.43784044588330472257645,0,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1628643383,0.05347796813181112658475,398166.75916359219064392339075,398166.75916359219064392339075,0.000000228439411,2.268406205053456
13006708,0,0,0,5587.863859510286052613134898,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1628722861,0.052625437027941056803613,386209.465922119844175629530216,386209.465922119844175629530216,0.000000227910672,2.230558974654252
13014166,0,10627.164853878545855346794888,0,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1628822219,0.05167287459095890694332,389819.028266296253210026238928,389819.028266296253210026238928,0.000000223442415,2.249308909762107
13031154,0,0,0,3666.316449941975765234111864,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1629049206,0.057287788364818259670312,428441.666460004150145318788288,428441.666460004150145318788288,0.0000002246730855,2.242711706699664
13040626,0,8354.41775006390069111904,0,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1629175203,0.0579660476178818328,441829.56392770499154133296,441829.56392770499154133296,0.000000221621868,2.2524338798529425
13047134,49032.926796,0,0,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1629261302,49032.98175930908452576489317,418916.115913016413121566816152,418916.115913016413121566816152,0.459793478589873,5.2376962411922115
13047717,0,0,49514.57620311186145378401,0,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,MKR,Compound Maker,Compound v2,1629269116,0.055503212511981366,423026.16180447806525350148,423026.16180447806525350148,0.000000222373476,2.260072780253426
