blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
13842667,0,0,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1640011545,0,0,0,0,0
13923202,0,5000,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1641088679,0,5000,5000,0,0
14015999,3998.464019831477,0,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1642329256,3998.464019831477,5000,5000,2.66045561868771,4.435796021647545
14163286,0,20001.696675967338778091,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1644294450,4009.664469355871091658,25010.097013110634346834,25010.097013110634346834,0.10810022893251,0.89902691666361
14182947,5000,0,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1644558473,9009.965049956211588278,25010.322448560889719299,25010.322448560889719299,0.534919867587365,1.979810621023859
14183232,1,0,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1644562157,9010.987050146546049347,25010.338948703640565101,25010.338948703640565101,0.54002668217652,1.99848626163819
14207431,0,0,5001.048963309404841406,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1644884415,4011.806518548485132636,25011.740272487148508623,25011.740272487148508623,0.108067543928132,0.89833423152976
14216312,0,0,4010.94218767746896532,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1645003437,1.000241235014997638,25011.842205260147631365,25011.842205260147631365,0.000000006601098,0.000224218552752
14231296,2500,0,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1645203437,2501.000241249269298293,25011.842205270838356857,25011.842205270838356857,0.04190138700367,0.5587262598615815
14233562,288,0,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1645234156,2789.013718346109952225,25011.852313093468847306,25011.852313093468847306,0.051662470782914,0.617744824332756
14305720,5,0,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1646199052,2794.547415133962943927,25012.252585684358591083,25012.252585684358591083,0.052727475557852,0.629241038251752
14315988,21000,0,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1646336500,23794.62366001234396801,25012.309769343144359146,25012.309769343144359146,16.292198803701534,22.834599340713611
14321046,0,4127.062704157473914427,0,4127.062984290229312803,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1646404465,23806.348653731605668957,25021.103234499835236481,25021.103234499835236481,16.687238380540896,23.384972935381936
14325605,0,263.56,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1646466305,23816.935661822425910094,25292.603490567950417334,25292.603490567950417334,14.907227978364039,21.107815142462967
14326715,0,29894.853024211759869754,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1646481316,23819.380225772655008969,55189.289937742382111245,55189.289937742382111245,0.762921353389005,2.3569092269821305
14332431,0,0,0,263.584110834260007029,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1646557611,23820.777729529806415813,54926.753954725985659349,54926.753954725985659349,0.7916283137251875,2.4338177431095525
14342515,21000,0,0,0,0x041171993284df560249b57358f931d9eb7b925d,USDP,Compound Pax Dollar,Compound v2,1646693441,44823.25523962599720208,54928.61208729812874905,54928.61208729812874905,3.98258392615908,6.507271174792296
