blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
12960086,0,0,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628099595,0,0,0,0,2.2031249999700375
12961313,0,4967.931134534549874457619676,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628116057,0,4967.933162939211951127793888,4967.933162939211951127793888,0,2.2267361110808275
12962452,0,252.02790668047739133942932,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628131807,0,5127.14167455913995251415684,5127.14167455913995251415684,0,2.2093749999699525
12967079,0,50056.9362,0,50056.93619999995325062220843,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628194958,0,5521.443672875796847455538156,5521.443672875796847455538156,0,2.18611111108138
12976312,510.626,0,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628318023,510.626,6082.96141116672412785650704,6082.96141116672412785650704,0.2764916233175825,4.3917018862396825
12977776,0,698.18735880182623110760242,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628337227,521.370354029521134576166287,6907.764017062254117599454483,6907.764017062254117599454483,0.2377296335334115,4.199651162213179
12981945,0,2339.27531244,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628393145,506.05069977981371301944,9043.6016385572697402838,9043.6016385572697402838,0.153965132867512,3.668668849965772
12985567,0,47.95711,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628440292,479.646080515620793433299194,8619.222337783614799096647758,8619.222337783614799096647758,0.1534741187145465,3.6772323222130275
12989457,0.9226274,0,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628492425,462.336216041059813141959302,8291.107060851655489978453514,8291.107060851655489978453514,0.1543843135689455,3.6914459763650795
13006704,0,0,0,6358.927946475057329291855927,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628722786,563.090768069470835873889965,3736.434740766541754543179195,3736.434740766541754543179195,0.679546822690692,6.012251193588552
13007338,0,10764.077849124754,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628731352,577.050567380305409100404882,14593.088766546319588881577134,14593.088766546319588881577134,0.095564771251938,3.2223292476734925
13009012,0,0,0,10395.217745892053963887005609,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628753313,557.288818330691363173633968,3697.799551053693863081159424,3697.799551053693863081159424,0.6846653645518,6.057314614526772
13012341,0,113.86453508938861,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628797464,566.622955542940437182662272,3873.314602642473758940888476,3873.314602642473758940888476,0.654245302068554,5.9630432269724975
13015580,0,33932.312498040510140830192453,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1628841391,618.797738590166993177322114,38161.975899077356384689750294,38161.975899077356384689750294,0.0322495287207375,2.6518212429502305
13033699,1983.35399977516143530075,0,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629082618,2610.911978952075627682211153,38694.439825813574659746192253,38694.439825813574659746192253,0.202585426035711,4.003162951774193
13042043,0,0,0,916.58588498803871774512062,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629194357,2861.07857423678896358640134,41479.77210409240376963177682,41479.77210409240376963177682,0.206300902823903,3.9879200396327285
13042175,0,4949.01070705885830646037716,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629196223,2861.08495473267095869894836,46428.78759652317357242999228,46428.78759652317357242999228,0.1752922804899,3.792784062242249
13042842,0,9194.8117313973,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629205057,2943.182262457395162721830663,56955.359218992279619533229782,56955.359218992279619533229782,0.13747094106041,3.54704811933624
13042915,0,11349.66903813,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629206009,2943.185494534518665284572027,68305.030681180122246455285805,68305.030681180122246455285805,0.107643219583809,3.33089139364254
13044976,0,80774.181900069905691939226022,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629232948,2643.179752972623882276234158,142164.270841115381068345955524,142164.270841115381068345955524,0.037960641361648,2.722300368646656
13045895,0,60939.25447664083042415386382,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629244798,2634.4663352216704333608078,202633.39438838290879791773344,202633.39438838290879791773344,0.0252919527040915,2.593817800811139
13049248,0,0,0,59739.30095722047333241423206,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629290036,2583.077319303080048737423868,138934.244261631794831553118943,138934.244261631794831553118943,0.037801739059722,2.710955665056375
13049539,0,14800.08825812,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629293981,2641.78532725056921040535288,156891.55171112445137481924376,156891.55171112445137481924376,0.033625099167933,2.662590302319108
13050147,0,94708.46992968956507785307725,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629302180,2686.078890765453473702999045,254229.464422601455667512885105,254229.464422601455667512885105,0.019859370122526,2.506174634150671
13052294,0,100219.59358354925028,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629331190,2642.100481380298844257051098,349805.466573987274063979531206,349805.466573987274063979531206,0.013623944768616,2.405021014901568
13052783,0,29501.229226039795794553608831,0,8241.02108489801437326009425,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629337667,2665.532490932934167392503664,374080.786268679907685217243376,374080.786268679907685217243376,0.012825920519937,2.3999859920693745
13053278,0,0,618.8965,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629344459,1964.13987218259323493365714,362501.44834289125160865520794,362501.44834289125160865520794,0.00956598285519,2.3539957286922
13053488,0,1305.539101072328650226672466,0,119322.034304072528885318803143,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629347082,1964.820178431342991656024462,244235.031202947571871320346463,244235.031202947571871320346463,0.0146283167451505,2.424477979436245
13053794,0,42092.33138174636359,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629350630,1962.89191682245232140222,286058.62425001805217759069,286058.62425001805217759069,0.012446306093166,2.418454257726714
13054138,0,14237.899357262944303995950952,0,0,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,SUSHI,Compound Sushi Token,Compound v2,1629355299,1963.093380533415512476741206,300324.880282607711509257807108,300324.880282607711509257807108,0.011819665594506,2.410983756757884
