blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
12479085,0,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621618907,0,0,0,0,0
12480161,0,4704.126599673562661058,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621632971,0,4704.126599673562661057,4704.126599673562661057,0,0
12480652,0.000000000000000001,479.207869800969883722,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621639752,0.000000000000000001,5183.334469474532544779,5183.334469474532544779,0,0
12480819,0,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621642093,0.000000000000000001,5183.334469474532544779,5183.334469474532544779,0,0
12481249,5000,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621647529,5000.000000000000000001,5183.334469474532544779,5183.334469474532544779,21.8142930411621585,24.4477355780823795
12481410,0,1028.176010223990991895,5000,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621649642,0.06889023583197147,6211.574203166668110283,6211.574203166668110283,0.00000000048253,0.000063636297665
12481845,409.84991999806897,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621656037,409.918810233908845662,6211.574203166675421661,6211.574203166675421661,0.022754243403171,0.3727558753289235
12482487,0,20000000,0,19500000,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621664625,409.919202041885212531,506211.574565589053561016,506211.574565589053561016,0.0000034270698625,0.004575388436598
12482665,0,20,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621666921,409.919203447088312555,506231.574566888866428539,506231.574566888866428539,0.000003421041048,0.004567475686059
12484993,2380,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621698427,2789.919221824524051873,506231.574583887994487409,506231.574583887994487409,0.0001563994519945,0.0306797034845675
12485282,1307.6375260866814,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621702257,4097.55685358967748644,506231.574681640581119384,506231.574681640581119384,0.000338102920269,0.045157675438859
12486272,18300,0,0,4704.184713279678912712,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621715428,22397.557640450422610073,501527.390696207091446034,501527.390696207091446034,0.010306644555852,0.249499432518288
12486681,11531.217629582296,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621720666,33928.784999400784051054,501527.399695872551978942,501527.399695872551978942,0.023728338193494,0.3791856996084465
12490469,2300,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621772185,36228.991778470631384995,501527.590966512160762838,501527.590966512160762838,0.0268368304090425,0.40163178254409
12490762,0,0,409.84991999806897,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621775973,35819.160094907550039671,501527.607835214524315664,501527.607835214524315664,0.026306815456314,0.398204346467673
12491136,0,59500000,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621780552,35819.182849141023893229,60001527.628882880487630206,60001527.628882880487630206,0.000001848930057,0.003348634987899
12491309,10000,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621782811,45819.18293711814970058,60001527.628964259329002006,60001527.628964259329002006,0.000003020968344,0.004276878471506
12491792,145310.3336318804,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621788965,191129.516970913496886628,60001527.629336030655149101,60001527.629336030655149101,0.0000528360219425,0.01793176146254
12492431,7500,0,0,0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621797513,198629.526223192671918114,60001527.637894388892053226,60001527.637894388892053226,0.000056799784885,0.0185492034186275
