blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
10984886,0,0.0035429306293453872072,0,0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601754197,0,0.0035429306293453831395,0.0035429306293453831395,0,0
10985207,406799.10752127283123434675,1167682.6865198910120889225497,0,0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601758661,406799.3744771976012780636759,1167682.9036275614574693133986,1167682.9036275614574693133986,0.537651447733176,1.929103272910304
10985505,0,1060286.2988554385311382718189,0,0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601762321,406800.1763589184415059710099,2227969.8439883766607899598971,2227969.8439883766607899598971,0.149050050861888,1.020399688719837
10985701,21607.6224,1111003.8992352805906672029213,0,0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601764954,428408.1528631235924202147993,3338974.0265070213721885757478,3338974.0265070213721885757478,0.0735428457761935,0.7164827826091495
10986030,0,257443.869482171806192423392,0,0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601769506,428408.5683699927179984433342,3596418.2283946884788435998656,3596418.2283946884788435998656,0.0632332440715905,0.663540626116044
10986283,0,258020.2434407480987456088828,0,0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601773018,428408.8699741911439506075858,3854438.7131187953183509588611,3854438.7131187953183509588611,0.05499081493967,0.618447530516275
10986542,0,42246.5631784609401230338696,0,0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601776570,409051.3906404077185534632916,3722043.639732032003058097476,3722043.639732032003058097476,0.053696502876588,0.610744554356046
10986816,0,169752.3250261131956060540092,0,791.0233571174704932052555,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601780315,409051.67396621037940262331,3891005.168061669856850282789,3891005.168061669856850282789,0.0491267536304585,0.5841329632270735
10987065,55539.77,1340267.5981146015907536771378,1582.1907358994,1231601.3468975347788407501536,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601783514,463009.5441944049861095193595,3999671.6520500118741287499162,3999671.6520500118741287499162,0.05968946262753,0.644528431755105
10987374,0,820942.2627150497746541765645,0,0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601787551,463009.9073101720571221809919,4820614.205257675305593072099,4820614.205257675305593072099,0.0411482379889635,0.5355171091528125
10987628,0,43982.5462747198177179408108,0,0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601791113,463010.1753955795127117161696,4864596.9660007210877826628018,4864596.9660007210877826628018,0.0403446625288685,0.529849381420689
10987852,183684.096298236509292751,1557064.171097,0,8549.6860180208098192078131,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601794045,646694.6189190562001031197335,6413111.7288598924204423894683,6413111.7288598924204423894683,0.045349101746364,0.562144884553408
10988145,716.57955,2401395.0448831007282671108692,0,3318.6341022748309345954358,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601798301,647411.6510527235264006250813,8811188.5017076521788129418047,8811188.5017076521788129418047,0.023893152823528,0.406478386168765
