blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
8164312,1.067613559606,2.038171341066,0.582334668876,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563313000,0.48527889073,2.038171341066,2.038171341066,2.1431972787838515,10.00158730145128
8164922,3832.7598037969928832,758399.1687207237869908,0,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563321116,3833.240109619561928,766571.1983077447704032,766571.1983077447704032,0.010677238265386,2.372481865635504
8165225,4.799037296315,3839.229837052,0.0957229674064,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563325055,3848.2776540282345221,772474.7875568712573387,772474.7875568712573387,0.010671230104776,2.380070900253594
8165484,0,0,4.745047371315,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563328511,3800.2488418911997836,763784.3336171908863372,763784.3336171908863372,0.010692117082827,2.38770082593936
8165729,0,54.64776729103403,0,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563331839,3703.215249096048712,744335.056047647148544,744335.056047647148544,0.01067292759626,2.383584581544838
8166050,28175.24858295,12797.720651154598999,0,529.5478803143428305,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563335968,31936.207364585798722,768193.041999708783976,768193.041999708783976,0.135249237417224,3.614758979266652
8166292,3287.1123346775,25082.7966927947196375,0,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563339033,35223.4383170598329415,793275.945476695632994,793275.945476695632994,0.148484181135537,3.715610806019304
8166571,0,20066.0528229327703525,0,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563342959,35717.1091838745842924,824457.3307314956775702,824457.3307314956775702,0.143483747014168,3.680036133699024
8166602,0,0,0,20019.0943609946200304,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563343445,35717.126516347298085,804438.251988773173265,804438.251988773173265,0.1481492342403645,3.7074312245113715
8167026,0,17592.48837450945679,0,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563349702,36097.1433400531651019,830771.4902320695960469,830771.4902320695960469,0.142595781140912,3.646472288671586
8167253,0,4074.3195615135011181,0,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563352913,35653.8787537043824729,824639.3864377907941621,824639.3864377907941621,0.141393036522564,3.633647571876024
8167560,0,950.637525457,13322.234281754398,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563357308,22331.8108335169394479,825590.1737837218061853,825590.1737837218061853,0.075288809480544,3.092633776054944
8167786,0,40668.2113665840184012,15007.5890777909675971,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563360006,7044.9821894502068609,855934.1177636917968438,855934.1177636917968438,0.01836093973374,2.47863644733384
8168074,0,606.575091786580177,0,1826.149205726,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563363741,6852.3223928708864881,831294.6864486423633579,831294.6864486423633579,0.018446142827942,2.4864531005573175
8168408,0,0,0,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563368106,7080.8193564884239104,859011.9471220785083136,859011.9471220785083136,0.0184809478890125,2.491135915352375
8168566,47.1759283584,12473.31545796096,0,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563370573,7128.0071731807702272,871485.2734305029907456,871485.2734305029907456,0.018164380141425,2.46757292671284
8168909,0,8301.74789932704,0,8292.13939481393,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563375302,7345.5802088058539289,898092.7043934178194246,898092.7043934178194246,0.018129800015145,2.462893117482798
8169159,0,4858.20187116212,0,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563378786,7354.9825769266004543,904049.3210155614128254,904049.3210155614128254,0.0180428890035625,2.464189182455825
8169360,1226.038198917869059,34.15182484312922,0,0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563381633,8608.6990950453900065,907483.6180644529503545,907483.6180644529503545,0.0213337703754,2.4987705281406
8169720,48.36817059735,9712.2405696559359494,0,4766.3960021718354357,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563386373,8678.919940090567376,914617.197241141313042,914617.197241141313042,0.02140856835664,2.5067948795028
8169902,979.62549134,777.0832070727421216,0,251.469667701879732,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563388903,9766.5217916245293746,925363.0328389570821896,925363.0328389570821896,0.024163764242475,2.5438664119413875
