blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
12069867,0,0,0,0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616165654,0,0,0,0,2.2718749999691025
12070011,593.599495165,1187.19899033,0,0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616167376,593.60240867975,1187.20073843885,1187.20073843885,6.0278626844027385,15.0696123327493365
12070393,582.70295,6409.73245,0,0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616172659,1176.3199262535,7596.9454252008,7596.9454252008,0.770710191044525,6.2217807197251675
12070700,1023565.2063210295,5184598.1241968952,0,0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616176774,1025815.23535772465,5197637.1860822464,5197637.1860822464,1.152497392660992,7.299393569653248
12070975,93148.3421521,17556157.4977749253,0,0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616180154,1118968.01929544175,22753798.24092551085,22753798.24092551085,0.13918891356968,3.53794345150648
12071235,28707650.15276569515,43567007.6704122181,58707.85837141195,469.65748,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616183987,29768124.12173506385,66320507.3025248731,66320507.3025248731,4.91030067378753,13.6745949449739
12071468,14089724.4,16121579.25271062555,0,0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616187375,43858413.51850936015,82442538.55594253805,82442538.55594253805,6.690612378309419,15.720788348392967
12071720,9457857.0162466848,189233920.4005957197,0,0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616191009,53316727.1116881551,271676824.2203148189,271676824.2203148189,1.127044669735975,7.1786082258595575
12072019,70470663.61260825,432165131.92957721125,14824379.4463020714,14676796.25,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616194769,108964522.6721634284,689166369.0195716376,689166369.0195716376,0.788509443894536,6.233843102370156
12072266,44030388.75,46749776.1181915078,14147852.0581974162,14960058.58611462095,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616197925,138848118.939420341,720956934.214712518,720956934.214712518,1.098756305275596,7.131497201752188
