,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,12485775,0.0,0.0,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621708768,0.0,0.0,0.0,0.0,2.2371527777473523
1,12486230,1249.089,5343.586772245626,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621714943,1249.0913428560657,5343.588529387676,5343.588529387676,1.4222948691963055,8.112733140049713
2,12486523,0.0,705.7693517718235,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621718648,1189.6549671546168,5795.0477570371395,5795.0477570371395,1.1431254640894724,7.424524298926416
3,12486962,1270086.7722591972,1999107.9610375464,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621724334,1271282.3585658832,2004907.457299232,2004907.457299232,8.6895255437116,18.272043128577483
4,12487213,3419027.3718,3882131.564635407,4758.5628,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621727459,4685618.181619853,5887089.282475116,5887089.282475116,13.400264670776917,22.448423087977304
5,12487502,0.0,97618.37906876024,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621731389,4685746.282468271,5984803.73718019,5984803.73718019,12.978558038615564,22.10224169812351
6,12487780,0.0,21546.786562715886,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621735005,4685867.665229091,6006441.560813521,6006441.560813521,12.8965597142696,22.041434029372823
7,12487996,922.5599999990787,1979.1671502020297,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621738091,4686884.350515287,6008491.321928371,6008491.321928371,12.865718412337973,21.991455773491605
8,12488208,0.0,27326.379104780768,0.0,9842.767249203416,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621741298,4686976.55730634,6026044.0888772365,6026044.0888772365,12.73593058751594,21.832775221860025
9,12488550,951712.56,1043437.019134954,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621745752,5638856.130441569,7069606.367863613,7069606.367863613,13.446571144870031,22.47783659051922
10,12488819,0.0,168956.87910394202,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621749327,5770363.345067754,7403364.350122455,7403364.350122455,12.868161870158044,22.01310042241354
11,12489109,0.0,10306.417652342385,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621752946,5770518.848432407,7413787.395298286,7413787.395298286,12.889882580181204,22.080706319011956
12,12489227,60.8677125,0.0,0.0,9576.066325569498,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621754543,5770642.915218663,7404258.728278033,7404258.728278033,12.911992635348415,22.089678296592442
13,12489618,0.0,0.0,0.0,496576.8867575861,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621760027,5770852.57561721,6907839.086819359,6907839.086819359,24.098867568904357,38.4625084216393
14,12489857,0.0,25790.99485208028,0.0,741732.4010290626,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621763496,5771129.442353696,6192105.33069474,6192105.33069474,57.1208682003097,81.71674447461885
15,12490114,0.0,552284.9088006094,138318.41783655155,101297.76238693182,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621767216,5633212.436187724,6643393.535861352,6643393.535861352,27.78685818841746,43.69301676776577
16,12490393,608.677125,974488.3769729432,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621771028,5634013.438683744,7618026.156862562,7618026.156862562,11.52389400729594,20.77603042862304
17,12490788,0.0,2.384516527578098,1217354.25,2182660.404262324,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621776327,4416869.721839179,5435526.036983341,5435526.036983341,17.01510340121789,27.919029655125247
18,12491504,0.0,66891.80821406517,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621785448,3294404.127821703,4108572.0515500447,4108572.0515500447,13.9847644676277,23.2545493146866
19,12492011,0.0,24933.31949945097,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621792189,3294567.7230302272,4133628.067455888,4133628.067455888,13.236938475782011,22.14416174798784
20,12492296,79.39779431996308,100595.0218422336,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621795879,3294734.964765934,4234288.972254162,4234288.972254162,12.708371469969055,21.776528409595624
21,12492556,0.0,67585.52838986261,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621799291,3294814.393421382,4301934.0721356105,4301934.0721356105,12.344089058484453,21.489711192339374
22,12492840,0.0,95310.97850155128,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621803414,3294899.2449812023,4397308.6893070275,4397308.6893070275,11.768641887916914,20.941601907784896
23,12493166,49.04006441114794,302448.791516727,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621807099,3295043.731445151,4699829.065623407,4699829.065623407,10.506557029734587,19.981129694235587
24,12493375,0.0,18422.34850554492,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621810123,3295101.8849922977,4718295.029289312,4718295.029289312,10.39722055465132,19.850536047788793
25,12493696,0.0,73985.73661117171,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621814362,3295190.6600248707,4792347.347174914,4792347.347174914,10.110833446867776,19.60620020561904
26,12493869,363164.7,479254.42417845456,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621816730,3658405.212088146,5271639.160400825,5271639.160400825,10.283843900367536,19.75823200986908
27,12494010,0.0,7541.652813405824,0.0,0.0,0xface851a4921ce59e912d19329929ce6da6eb0c7,LINK,Compound ChainLink Token,Compound v2,1621818673,3658448.4243658334,5279213.222422496,5279213.222422496,10.229272068062125,19.681388426445228
