,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,12479085,0.0,0.0,0.0,0.0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621618907,0.0,0.0,0.0,0.0,0.0
1,12480161,0.0,4704.126599673563,0.0,0.0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621632971,0.0,4704.126599673563,4704.126599673563,0.0,0.0
2,12480652,0.0,479.20786980096983,0.0,0.0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621639752,0.0,5183.334469474533,5183.334469474533,0.0,0.0
3,12480819,0.0,0.0,0.0,0.0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621642093,0.0,5183.334469474533,5183.334469474533,0.0,0.0
4,12481249,5000.0,0.0,0.0,0.0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621647529,5000.0,5183.334469474533,5183.334469474533,21.81429304116216,24.447735578082376
5,12481410,0.0,1028.1760102239907,5000.0,0.0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621649642,0.0688902358319714,6211.574203166668,6211.574203166668,4.8253e-10,6.3636297665e-05
6,12481845,409.84991999806897,0.0,0.0,0.0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621656037,409.9188102339088,6211.574203166675,6211.574203166675,0.022754243403171,0.3727558753289235
7,12482487,0.0,20000000.0,0.0,19500000.0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621664625,409.9192020418852,506211.574565589,506211.574565589,3.4270698625e-06,0.004575388436598
8,12482665,0.0,20.0,0.0,0.0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621666921,409.9192034470883,506231.57456688886,506231.57456688886,3.421041048e-06,0.004567475686059
9,12484993,2380.0,0.0,0.0,0.0,0x12392f67bdf24fae0af363c24ac620a2f67dad86,TUSD,Compound TrueUSD,Compound v2,1621698427,2789.919221824524,506231.574583888,506231.574583888,0.0001563994519945,0.0306797034845675
