blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
12960086,0,0,0,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1628099595,0,0,0,0,2.2031249999700375
12961445,131.345580944,5127.8845426248673113914973,0,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1628117798,131.345580944,5076.450744609732070405914492,5076.450744609732070405914492,0.0557179749285075,2.8713013356476925
12962457,0,248.493055116705351025714992,0,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1628131864,129.594545599751384802988416,5257.205982882592092152873568,5257.205982882592092152873568,0.052175041548588,2.8220831929802295
12971934,0,5313.49114748311817535757059,0,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1628260202,130.519831593569829821008695,10607.634428973087120492229155,10607.634428973087120492229155,0.0233349576808725,2.528644607223812
12972834,0,49466.44540068448136434160832,0,49466.445409831480631291496384,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1628271873,132.98124736571982156769536,10807.57487744418405362466384,10807.57487744418405362466384,0.023550432437544,2.551969474504176
12977934,6962.6,0,0,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1628339506,7101.878814506956795624,11318.767718356861556963,11318.767718356861556963,8.581382614453572,18.235677075366226
12978138,0,0,6821.7105026,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1628342022,136.569301423708945169462826,11089.811976932545318239444121,11089.811976932545318239444121,0.0238465970484525,2.581881162791217
12991929,0,0,137.08072301799533614845,145.12700453123594539839,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1628525405,0.10716857440226366604,10993.26787168847939506434,10993.26787168847939506434,0.00001644471438,2.2492049794317555
13006702,0,0,0,5450.718820503803356697123166,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1628722754,0.113416920691473155283768,6181.864539312093274214042343,6181.864539312093274214042343,0.0000306987703,2.23101594328932
13046103,0,4627.83438448562728,0,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1629247678,0.117937145490438147913524,11053.667786584203162175100434,11053.667786584203162175100434,0.000018053980546,2.2561735580498655
13049618,0,879.441893016151017359349504,0,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1629295071,0.119187092882956389173532,12049.887533568816703086787914,12049.887533568816703086787914,0.000016620977844,2.240527065097202
13053676,0,0,0,844.980502860575812999629194,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1629349294,0.114521105833614579776979,10732.725917574203355004511398,10732.725917574203355004511398,0.000017885882132,2.234990479415162
13054972,0,1019.251722299714180249243768,0,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1629366395,0.115987117511557426592488,11889.23576642903361748825453,11889.23576642903361748825453,0.00001641357769,2.24330173301771
13055671,0,999.96066190101972,0,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1629375867,0.113699372539806008391106,12654.614091681414003994945718,12654.614091681414003994945718,0.000015273277905,2.266548521902767
13062868,27990.4988545,93050.69235624240781413039147,27990.4988545,93050.6678349793503675093013,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1629472792,0.13357366383174907551003,13930.73681857479849952804534,13930.73681857479849952804534,0.000015787428001,2.195375677665256
13064615,0,372.109384996222,0,0,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,YFI,Compound yearn.finance,Compound v2,1629495402,0.131427658928915698641498,14078.806083225505360658136693,14078.806083225505360658136693,0.00001568652178,2.240513052495206
