,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,11779614,0.0,311.46778958636594,0,0.0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612306635,0.0,311.46778958636594,311.46778958636594,0.0,3.0
1,11779853,13.119831802926782,29834.419838288843,0,0.0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612309681,12.795228419307229,30138.181417517655,30138.181417517655,2.2430425607e-06,3.009434491264714
2,11780143,0.0,92346.09386704993,0,0.0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612313440,12.823421093151348,122550.6807536933,122550.6807536933,1.36254817e-07,3.002325282172474
3,11780350,0.0,44299.42519940709,0,0.0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612316275,12.708093514835063,165451.64768780913,165451.64768780913,7.34165757e-08,3.0017068556406294
4,11780724,3333.5455759327606,0.0,0,0.0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612321164,3346.2536694711343,165451.64768783265,165451.64768783265,0.0050903898121009,3.4494436513271585
5,11781126,0.0,21017.783373774797,0,0.0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612326427,3337.494023733145,186036.2356051922,186036.2356051922,0.004005174297167,3.3986671393315726
6,11782184,0.0,398377.7299520785,0,0.0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612340550,3332.2179866504225,584119.6444534321,584119.6444534321,0.0004049847757306,3.126770755435764
7,11783251,0.0,292.1143877886912,0,0.0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612354569,3390.6059501314594,594646.6173596887,594646.6173596887,0.0004045873011519,3.1267085302298696
8,11783911,0.0,0.0,0,32662.041230338717,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612363381,3347.560947637719,554435.1716519342,554435.1716519342,0.0004536604855052,3.134173023437876
9,11784225,13687.192643424505,0.0,0,0.0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612367738,17109.41084822818,566800.103946702,566800.103946702,0.0113392878757955,3.670799329981027
