,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,13070049,0.0,0.0,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629567760,0.0,0.0,0.0,,
1,13070198,427.7813119308112,3254.615954333756,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629569660,427.78135238566904,3254.615994788612,3254.615994788612,0.1934916428425985,0.0
2,13070476,0.0,11719.555557643936,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629573373,427.782279195842,14974.172479241915,14974.172479241915,0.0091406681088468,0.0
3,13071365,0.0,2721.147371928257,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629585185,422.55847453553,17512.44327162865,17512.44327162865,0.0065207593350886,0.0
4,13071619,0.0,5043.14849616046,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629588485,422.5586239051706,22555.591917158727,22555.591917158727,0.0039308231453111,0.0
5,13071833,0.0,197760.6945132735,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629591481,422.5587291941709,220316.2865357212,220316.2865357212,4.12001666254e-05,0.0
6,13072550,0.0,136870.1824221177,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629601071,422.5587636980248,357186.4689923428,357186.4689923428,1.56748088028e-05,0.0
7,13074835,0.0,300454.0900461087,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629631550,426.86940731305424,661284.2633730606,661284.2633730606,4.6669345369e-06,0.0
8,13075016,0.0,109.41533399280812,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629633814,426.86941008254377,661393.6787098228,661393.6787098228,4.6653906094e-06,0.0
9,13075512,0.0,2564.896506033855,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629640331,422.40099296134474,657035.1743351104,657035.1743351104,4.6290369065e-06,0.0
10,13075760,0.0,7849.547544276059,0,0.0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629644005,415.8111236104615,654634.3226312153,654634.3226312153,4.5186914318e-06,0.0
11,13076007,0.0,0.0,0,48512.44014160974,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629647490,411.1242853881554,598743.1289309597,598743.1289309597,5.2805991413e-06,0.0
