,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,11576954,721.897059897045,59541.57835275455,0,0.0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609616131,721.897059897045,59541.57835275455,59541.57835275455,0.0007349873502722,4.060621256596537
1,11577151,0.0,100.39524457766748,0,0.0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609618831,726.0082111634024,59981.058556731776,59981.058556731776,0.0007325289914858,4.060519789799701
2,11577469,3011.9362215439082,0.0,0,0.0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609622851,3737.963447747067,59982.62953374769,59982.62953374769,0.0194173117654689,4.311587160883302
3,11578056,16905.141991462897,0.0,0,0.0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609630696,20607.51725061084,59411.55034521126,59411.55034521126,0.6015608683683065,5.734302263690369
4,11578516,0.0,24927.52741964525,0,0.0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609637012,20729.71264417661,84691.24569925293,84691.24569925293,0.299557107997547,5.223840487967183
5,11579318,7575.073612487832,0.0,0,0.0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609647871,28447.284332784,85273.17300776088,85273.17300776088,0.5564509490054366,5.66800921610979
6,11579550,6594.696541103321,0.0,0,0.0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609651319,34684.44395350081,84201.3360571553,84201.3360571553,0.8484020653268346,6.059614120808591
7,11582406,10827.880319090098,0.0,0,0.0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609688521,43481.848090593,84350.2791466544,84350.2791466544,1.328657512526903,6.577457577271552
8,11582634,0.0,1000528.129155172,0,0.0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609691858,43881.55439558009,1085653.6837108005,1085653.6837108005,0.0081686708665935,4.202097388238858
9,11583236,4510.148375061691,118.45646952579835,0,0.0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609699454,46400.34811789016,1074255.0127222873,1074255.0127222873,0.0093281972383856,4.215965243018247
