,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,12895389,0.0,0.0,0,0.0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627215456,0.0,0.0,0.0,,
1,12901875,0.0,98.9184161410341,0,0.0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627303316,0.0,98.9184161410341,98.9184161410341,0.0,0.0
2,12902856,0.0,0.0,0,9.89184161410341,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627316553,0.0,89.02657452693069,89.02657452693069,0.0,0.0
3,12903058,0.0,10005451.331257448,0,0.0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627319463,0.0,10005541.380319428,10005541.380319428,0.0,0.0
4,12903907,9998.239110969642,0.0,0,0.0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627330984,9998.239110969642,9998329.09512164,9998329.09512164,3.999928001e-06,0.0
5,12904309,1236132.2653700027,0.0,0,0.0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627336548,1246021.3266749207,9889147.127665088,9889147.127665088,0.0635028572268994,0.0
6,12907805,1499359.4813798715,0.0,0,0.0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627385118,2758832.311524195,9995830.703177767,9995830.703177767,0.304700253115084,0.0
7,12921535,2317310.8495940594,0.0,0,0.0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627573058,5098298.113043686,10075569.47804047,10075569.47804047,1.024168087393482,0.0
8,12927274,35.4227748356409,0.0,0,0.0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627652266,5051231.408017496,9982204.818973994,9982204.818973994,1.0242396090549948,0.0
9,12942670,3995.929734195053,0.0,0,0.0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627862626,5060138.925514097,9991170.608900528,9991170.608900528,1.0260112355019295,0.0
