,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,11362823,0.0,0.0,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1606774858,0.0,0.0,0.0,,
1,11374066,77.65910693252212,388.29553466261063,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1606925130,77.65910865631005,388.29553638639857,388.29553638639857,0.4977777954563396,5.333333428039913
2,11374760,0.0,5.91722604287511,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1606934220,79.95489038914134,405.6888029086471,405.6888029086471,0.4833698246368765,5.255581113101856
3,11375446,0.4021518638053697,0.0,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1606943214,80.83395092508717,408.10575870471007,408.10575870471007,0.4882223758351424,5.281895632847534
4,11375743,0.4521203097081596,0.0,0.4521203316683061,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1606947132,82.61648523010307,417.1039454498452,417.1039454498452,0.488225374340731,5.281911851485922
5,11379289,11.71072738386308,0.0,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1606993984,84.06195108022128,396.1407587921451,396.1407587921451,0.5603706576875634,5.65872604284254
6,11379515,0.0,0.0,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1606997033,45.0237055392513,396.14102707065456,396.14102707065456,0.1607527230745096,3.030819999578963
7,11380026,0.0,0.0,0.0,19.51787897310513,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1607003656,5.985214506006705,376.62330530321594,376.62330530321594,0.0031428276966491,0.423780785423592
8,11380293,0.1413839339607287,0.0,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1607007112,6.126600061422661,376.6233069246709,376.6233069246709,0.0032930641440884,0.433791532821824
9,11380556,0.0,13957.445614453854,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1607010425,6.126600441026042,14334.068921758128,14334.068921758128,3.8597814792e-06,0.0113977414683625
10,11380825,0.0,1059.0526438328093,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1607014174,6.140837185381008,15426.430297960344,15426.430297960344,3.5914460303e-06,0.0106152658206174
11,11380894,0.0,195.6323356216664,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1607014974,6.140837202949244,15622.06263359958,15622.06263359958,3.5459082529e-06,0.0104823327485814
12,11382429,0.0,7.361567651934342,0.0,0.0,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,UNI,Aave interest bearing UNI,Aave v2,1607035349,6.1408376503192965,15629.424201698885,15629.424201698885,3.5442174771e-06,0.0104773962598468
