,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,14386651,0.0,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647286566,0.0,0.0,0.0,,
1,14407061,0.0,5008304.792992979,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647561418,0.0,5008304.792992979,5008304.792992979,0.0,0.0
2,14407524,687.8206125037485,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647567940,687.8206125037485,4958431.970375017,4958431.970375017,7.69700283e-08,0.00034679341
3,14408546,198337.27881500073,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647581569,199025.09943047952,4958431.970377001,4958431.970377001,0.0064444665266932,0.1003467934114398
4,14408902,100177.7113322396,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647586335,301228.01438127685,5008885.627593158,5008885.627593158,0.0144666668099062,0.1503468220165575
5,14408999,3576344.294560953,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647587595,3877572.3451324305,5008885.663782356,5008885.663782356,2.39716304202432,1.935346804364272
6,14409617,400710.8453289584,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647595572,4278321.155497874,5008923.628670579,5008923.628670579,16.606141841069302,22.30243465488593
7,14410028,0.0,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647601599,3777631.312547008,5009122.338690364,5009122.338690364,2.2749709350561007,1.885375847417474
8,14410525,701243.9793256772,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647608009,1473391.7222961388,5009266.163375717,5009266.163375717,0.346057467504648,0.7353331170129715
9,14411278,251476.78442258688,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647618051,1730949.7840427256,5029924.782700609,5029924.782700609,0.4737027945969462,0.8603258781169659
10,14411549,404485.94781217846,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647621812,1749220.6068349488,5083010.100756843,5083010.100756843,0.4737041776834835,0.8603271340777547
11,14411754,15096.915697616643,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647624447,1747006.0438126975,5032700.885961475,5032700.885961475,0.4819994767332149,0.8678272768216313
12,14412116,20129.220930155523,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647628893,1767139.5395945602,5032705.160809156,5032705.160809156,0.4931723307463677,0.8778278685432581
13,14412269,905814.9418569986,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647631020,2672956.5739796883,5032707.25333628,5032707.25333628,1.1283412336023526,1.3277925958159564
14,14413135,1758948.6711535426,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647642989,4061749.9373646136,5084179.110520129,5084179.110520129,2.5529638860302235,1.9972496268424291
15,14413977,10167.333359269032,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647654203,4071974.964977428,5084236.804445269,5084236.804445269,2.779588174378388,2.3382156805700194
16,14414175,0.0,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647657124,4061823.993832496,5084253.166632154,5084253.166632154,2.552982607129329,1.9972569498288335
17,14415338,167761.00042793903,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647672352,4229663.341822892,5084331.513589656,5084331.513589656,10.623773193348978,13.963086346843124
18,14417164,0.0,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647697103,4058874.640534789,5086836.988589873,5086836.988589873,2.5466872903363447,1.994792944430709
19,14418178,199162.4948494972,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647710516,4173048.8248096,4980305.75153061,4980305.75153061,12.21090539658985,16.216310585488245
20,14418572,49790.62371237429,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647715299,4158223.782223027,4980421.376855525,4980421.376855525,11.416792703955968,15.0927665889071
21,14420435,0.0,52.107674374360656,0,52.10777996534676,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647741217,4033818.84526453,5030101.281691604,5030101.281691604,3.031935067658873,2.7259623081979365
22,14420960,100562.8439089838,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647748465,4134425.5039480496,5030145.096275072,5030145.096275072,8.037566533283224,10.223622829083824
23,14424167,0.0,105668.97540620618,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647791469,4134350.5837917775,5135573.58437112,5135573.58437112,3.793748277548572,3.8906088918387938
24,14424857,99904.95127957928,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647800738,4193015.1469982727,5084328.776337739,5084328.776337739,8.748499746385635,11.260222175582612
25,14428009,994.8576069241528,0.0,0,0.0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647842695,4192481.3654059223,5082317.965862002,5082317.965862002,8.805601348787329,11.34319208520718
