,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,11857410,0.0,2752287.9595494685,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613339987,0.0,2752287.9595494685,2752287.9595494685,0.0,0
1,11857686,0.0,3988147.047848933,0,17078.72798237242,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613343515,0.0,6756953.099909316,6756953.099909316,0.0,0
2,11857937,0.0,34719247.498170204,0,5085699.88397548,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613347147,0.0,35989426.35820027,35989426.35820027,0.0,0
3,11858178,0.0,8179386.611369543,0,4236370.30624295,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613350348,0.0,39932442.66332686,39932442.66332686,0.0,0
4,11858450,0.0,111232.56244487283,0,2489028.609089107,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613354083,0.0,35781987.44336054,35781987.44336054,0.0,0
5,11858732,0.0,10995854.129800223,0,725865.1738868925,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613357652,0.0,43166530.52915231,43166530.52915231,0.0,0
6,11858964,0.0,317399.89066440664,0,1763.1099245473972,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613360942,0.0,46263337.35046503,46263337.35046503,0.0,0
7,11859267,0.0,4493391.811762744,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613364900,0.0,48528241.47679741,48528241.47679741,0.0,0
8,11859543,0.0,1950731.404199092,0,8878.271794928223,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613368387,0.0,51398440.50487423,51398440.50487423,0.0,0
9,11859845,0.0,36038406.9442827,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613372139,0.0,92484275.17230509,92484275.17230509,0.0,0
10,11860122,0.0,17509066.22732692,0,214071.92445799624,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613375881,0.0,109779269.475174,109779269.475174,0.0,0
11,11860418,1109.425440988595,616729.3497417186,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613379580,1109.425440988595,113328183.54699165,113328183.54699165,9.689899e-10,0
12,11860675,0.0,1058739.7525974568,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613383052,1137.8589128391336,117293614.86747672,117293614.86747672,9.515398e-10,0
13,11860943,0.0,48259.6257304006,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613386731,1162.3037831188549,119861718.6880567,119861718.6880567,9.507738e-10,0
14,11861123,0.0,2308131.2758888337,0,5402106.289478138,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613389083,1170.456363254305,117619001.6604054,117619001.6604054,1.0012773e-09,0
15,11861416,6804.728928317712,5785130.100846567,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613393313,7984.2099609144125,124311019.53879575,124311019.53879575,4.17103203e-08,0
16,11861728,0.0,516635.3218816855,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613397267,1213.9998613645596,128470049.73406918,128470049.73406918,9.028849e-10,0
17,11861948,0.0,27924.781122871176,0,5.8813306849e-06,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613400009,1213.9998556383844,128497974.51518632,128497974.51518632,9.024925e-10,0
18,11862150,0.0,276273.7216068384,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613402714,1204.990725210516,127820660.78267571,127820660.78267571,8.985954e-10,0
19,11862525,0.0,114178.2644254075,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613408068,1299.9037662388162,138005574.346697,138005574.346697,8.970735e-10,0
20,11862839,0.0,240813.8693042457,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613411812,1280.1322472413192,136147325.241854,136147325.241854,8.939029e-10,0
21,11863065,0.0,755079.4407882362,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613414519,1301.5593927659656,139181589.8255584,139181589.8255584,8.84226e-10,0
22,11863378,0.0,192582.1078268328,0,12083.891757233376,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613419115,1309.088277071313,140169431.25241843,140169431.25241843,8.819219e-10,0
23,11863612,0.0,2263557.677579181,0,492025.56023805495,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613422351,1319.3352067099083,143038143.977938,143038143.977938,8.602119e-10,0
24,11863878,2023.0424872734668,39438.06631785827,0,111312.51448927337,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613425768,3297.9187106799127,140782077.800232,140782077.800232,5.5486079e-09,0
25,11864164,0.0,674223.7494733831,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613429938,3247.460451251146,139313789.1129456,139313789.1129456,5.4941235e-09,0
26,11864365,0.0,2552797.8150070244,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613432672,3253.5459736331686,142110971.02348956,142110971.02348956,5.2997766e-09,0
27,11864688,0.0,1886861.321853093,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613436953,3139.814272613511,139029349.26400274,139029349.26400274,5.1569607e-09,0
28,11864973,0.0,52261.89652584376,0,72409.62287017335,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613440627,3253.75688872356,144054521.48675767,144054521.48675767,5.1584033e-09,0
29,11865186,0.0,297123.2183796405,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613443713,3253.7568898410327,144351644.70513844,144351644.70513844,5.1371898e-09,0
30,11865517,0.0,186707.13828688403,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613447914,3217.5802660696613,142932949.39440992,142932949.39440992,5.1238092e-09,0
31,11865684,0.0,1049380.8927731193,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613450160,3155.299375321516,141200478.3326652,141200478.3326652,5.049027e-09,0
32,11866041,0.0,134973.64361609772,0,2221364.0635816334,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613455092,3159.67822311126,139310042.42806923,139310042.42806923,5.2013939e-09,0
33,11866259,0.0,96879.9460318175,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613457716,3132.027449881253,138187711.24642012,138187711.24642012,5.1941101e-09,0
34,11866421,0.0,175039.84309060252,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613459810,3132.0274506144174,138362751.08951145,138362751.08951145,5.1809765e-09,0
35,11866739,0.0,109004.22798799034,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613464244,3132.02745216496,138471755.31750098,138471755.31750098,5.1728229e-09,0
36,11867131,0.0,1899839.75352014,0,1233.8289990715004,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613469149,1898.1984547685688,140370361.2420237,140370361.2420237,1.848976e-09,0
37,11867283,0.0,429526.0477975538,0,28554.61013107421,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613471458,1898.1984550605025,140771332.6796905,140771332.6796905,1.8384578e-09,0
38,11867609,0.0,184601.95335839488,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613475780,1856.738438827588,137881239.362064,137881239.362064,1.8335383e-09,0
39,11867814,0.0,263245.0082579081,0,2227.1429854826974,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613478439,1862.504169569571,138571166.81186005,138571166.81186005,1.8266176e-09,0
40,11868100,0.0,11403.232477650696,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613481931,1865.0100472409597,138769008.46345916,138769008.46345916,1.8263174e-09,0
41,11868478,0.0,10913.394146774304,0,46936.92062622129,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613486993,1831.9325768097185,136271001.1599792,136271001.1599792,1.8273047e-09,0
42,11868784,0.0,237002.9667150025,0,0.0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613491029,1847.5212470055417,137667590.26749977,137667590.26749977,1.8210184e-09,0
43,11868988,0.0,2606944.1480874363,0,9171.984037106786,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613493585,0.0,139286824.32219675,139286824.32219675,0.0,0
44,11869331,0.0,954793.4843912899,0,572666.6663838928,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613498288,0.0,135713423.5583022,135713423.5583022,0.0,0
45,11869577,27036.32345490456,2290736.13490364,0,96456.58379858595,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613501497,27036.32345490456,139499751.70378867,139499751.70378867,3.797932841e-07,0
46,11869869,0.0,33572.04717729216,0,9841.221737589463,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613505381,27036.323555291077,139523482.52932876,139523482.52932876,3.796641038e-07,0
47,11870039,0.0,530431.9064663145,0,690.2424513931256,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613507644,26401.519634909855,136768348.84558785,136768348.84558785,3.767779901e-07,0
