,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,16496810,0,0.0,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674806327,0,0.0,0.0,,
1,16498767,0,0.0,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674829943,0,0.0,0.0,0.0,9.0
2,16499076,0,0.08826,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674833663,0,0.08826,0.08826,0.0,9.0
3,16500563,0,5406.76562986776,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674851651,0,5406.8535494013695,5406.8535494013695,0.0,9.0
4,16503097,0,57583.536662418715,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674882203,0,62952.29028839395,62952.29028839395,0.0,9.0
5,16506378,0,524.9298330508552,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674921707,0,61878.17425988108,61878.17425988108,0.0,9.0
6,16507316,0,167.96640168,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674933011,0,61246.65046103545,61246.65046103545,0.0,9.0
7,16508612,0,6549.549156146425,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674948647,0,67465.69264485287,67465.69264485287,0.0,9.0
8,16512602,0,1445.2331647670492,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674996815,0,71624.73794043167,71624.73794043167,0.0,9.0
9,16513087,0,1317.26508375,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675002671,0,73706.6972559789,73706.6972559789,0.0,9.0
10,16513369,0,649.400705415,0,649.400705415,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675006103,0,73526.48182853813,73526.48182853813,0.0,9.0
11,16514010,0,3041.099343374365,0,0.0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675013819,0,75985.97357716001,75985.97357716001,0.0,9.0
12,16518002,0,0.0,0,5301.0037389868885,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675061939,0,70063.98249954708,70063.98249954708,0.0,9.0
