,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,16496806,0.0,0.0,0.0,0.0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674806279,0.0,0.0,0.0,,
1,16496939,1.00015782,1.5850172638370188,0.0,0.0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674807887,1.00015782,1.5850172638370188,1.5850172638370188,1.791767232092502,5.394379702834755
2,16497464,0.0,89.9750736,0.0,0.0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674814211,0.9997293651506164,91.55940753139053,91.55940753139053,0.0005365021392541,5.0068243216699315
3,16498259,0.0,0.4639465383250921,0.0,0.0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674823811,0.999843362038288,92.03377931395987,92.03377931395987,0.0005311068833717,5.006789921065112
4,16498525,79974.78,85545.33834802605,0.0,0.0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674827027,79975.77969126003,85637.35812489437,85637.35812489437,45.562114639195904,55.70834412308087
5,16498829,91241.02067899,156103.26807126423,0.0,64367.80335795835,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674830687,171221.10909639203,177376.22074011288,177376.22074011288,57.326127603318554,67.4857156479907
6,16499078,0.0,11273.288665281383,151414.2061964525,0.0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674833687,20019.42193353916,188868.36025250616,188868.36025250616,0.050557950174674,5.066247346759418
7,16499544,0.0,0.0,0.0,150.015261,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674839315,20004.789050951196,188580.1331495456,188580.1331495456,0.050638504662117,5.066300102033841
8,16499905,30999.92963,0.0,0.0,0.0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674843683,51002.654699188686,188560.53577931807,188560.53577931807,0.3292219215388074,5.169051151431287
9,16500259,2025.91941075,0.0,0.0,0.0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674847967,53051.94179002579,188646.66175062043,188646.66175062043,0.3558844931738572,5.175763338451351
10,16500685,5216.196565498352,0.0,0.0,0.0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674853115,58266.79655635279,188641.5670574777,188641.5670574777,0.4293111632518318,5.193045575013459
11,16500735,0.0,0.0,0.0,5002.381116550274,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674853715,58266.81367682295,183639.20134920947,183639.20134920947,0.4530187899445964,5.1983041798304965
12,16501338,59003.04744561226,0.0,0.0,0.0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674860975,117275.27241826056,183577.3372280502,183577.3372280502,1.836450035040988,5.399266910151282
13,16501865,2530.508979290164,0.0,0.0,63765.564544016976,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674867359,119792.89240721492,119791.09074059984,119791.09074059984,71.1,80.5
14,16502119,0.0,99992.72060265482,0.0,90007.6365,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674870407,119815.00114883605,129797.42677377907,129797.42677377907,41.66500222612848,51.65251094603923
