,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,17699509,2221971.522302495,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689433007,2221633.886029216,0,0,0,0
1,17699764,76701.4761362968,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689436163,2292788.745518688,0,0,0,0
2,17700080,88872.0531741751,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689440063,2381165.099610824,0,0,0,0
3,17700398,88228.5853650387,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689443915,2439313.0903440616,0,0,0,0
4,17700689,2973.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689447455,2442290.199019509,0,0,0,0
5,17700937,7042.878314306,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689450503,2448952.622086011,0,0,0,0
6,17701208,249700.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689453791,2698656.5121325604,0,0,0,0
7,17701585,32174.1176157819,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689458399,2730836.5673546945,0,0,0,0
8,17701825,33438.8494199952,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689461351,1224478.96451837,0,0,0,0
9,17702094,52997.437665339,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689464687,1276478.3888449213,0,0,0,0
10,17702425,51887.0344658265,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689468743,1328367.9610194296,0,0,0,0
11,17702684,5000.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689471875,1333369.94275628,0,0,0,0
12,17703196,150.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689478139,1333523.915474013,0,0,0,0
13,17703629,284502.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689483443,1448529.3769786605,0,0,0,0
14,17703807,420.69,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689485627,1448851.5716720591,0,0,0,0
15,17704118,114.86000154,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689489395,1448969.0284063509,0,0,0,0
16,17704401,20101.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689492875,1392071.2067107365,0,0,0,0
17,17704752,5257.7210128344,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689497171,1397331.773846294,0,0,0,0
18,17705109,61506.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689501491,1458155.558598993,0,0,0,0
19,17705400,23734.4216085112,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689505055,1481892.4725678316,0,0,0,0
20,17705697,57551.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689508655,1539296.0398016905,0,0,0,0
21,17705969,71951.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689511967,1610899.5126319053,0,0,0,0
22,17706247,201080.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689515375,1811982.3246439048,0,0,0,0
23,17706593,7184.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689519539,1819169.913841018,0,0,0,0
24,17706869,540.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689522875,1769712.8006452257,0,0,0,0
25,17707184,203209.2078731637,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689526679,1972925.5074419267,0,0,0,0
26,17707476,5100.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689530243,1978028.854625752,0,0,0,0
27,17707756,98003.2388237739,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689533627,2045805.773179522,0,0,0,0
28,17708040,107717.69,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689537035,2148526.901487222,0,0,0,0
29,17708334,50900.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689540575,2194400.5123740383,0,0,0,0
30,17708609,302.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689543911,2194705.994527105,0,0,0,0
31,17708914,2060.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689547619,2194769.86567294,0,0,0,0
32,17709223,14950.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689551387,2209723.8145380747,0,0,0,0
33,17709571,12215.4761252908,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689555599,2221943.7274612943,0,0,0,0
34,17709811,50.0,0,0.0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689558527,2221946.821955721,0,0,0,0
