,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,16669829,0.0,0.0,0.0,0.0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1676896991,0.0,0.0,0.0,,
1,16671482,0.0,163.6672528099315,0.0,0.0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1676917019,0.0,163.6672528099315,163.6672528099315,0.0,5.0
2,16675009,0.0,1007.373995277224,0.0,0.0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1676959883,0.0,1171.3105114728328,1171.3105114728328,0.0,5.0
3,16675617,0.0,0.100198978,0.0,0.0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1676967275,0.0,1171.08618508643,1171.08618508643,0.0,5.0
4,16676406,0.0,60369.10750648352,0.0,0.0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1676976827,0.0,61540.962350359405,61540.962350359405,0.0,5.0
5,16679256,0.0,100151.561,0.0,0.0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677011375,0.0,161623.05274748037,161623.05274748037,0.0,5.0
6,16680563,3001.77072,0.0,0.0,0.0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677027263,3001.77072,161473.71795646203,161473.71795646203,0.0015551198245216,5.0929492043036175
7,16682165,2001.08508,0.0,0.0,0.0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677046775,5002.71442622656,161466.0217572406,161466.0217572406,0.0043197801791215,5.15491539230463
8,16685208,0.0,0.0,0.0,60287.83888426261,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677083855,5006.498996827727,101300.0463473512,101300.0463473512,0.0109916143731761,5.2471123717975745
9,16686941,2505.251125,0.0,0.0,0.0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677104891,7515.77248964123,101381.27408984868,101381.27408984868,0.0247311469436737,5.37066866713844
