,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,17722729,0.0,0.0,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689715031,0.0,0.0,0.0,,
1,17723137,0.0,171811.259,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689719975,0.0,171811.259,171811.259,0.0,9.5
2,17723507,0.0,264225.0451840837,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689724439,0.0,436036.30418408365,436036.30418408365,0.0,9.5
3,17723832,0.0,128581.68668217174,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689728363,0.0,564617.9908662554,564617.9908662554,0.0,9.5
4,17724098,0.0,1154226.1054660338,0.0,499916.6239896211,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689731627,0.0,1218927.472342668,1218927.472342668,0.0,9.5
5,17724229,0.0,149829.10512505763,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689733223,0.0,1368756.5774677256,1368756.5774677256,0.0,9.5
6,17724534,0.0,16892.96118489398,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689736895,0.0,1385649.5386526196,1385649.5386526196,0.0,9.5
7,17725057,0.0,52780.4187648,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689743267,0.0,1438429.9574174196,1438429.9574174196,0.0,9.5
8,17725354,3436.22518,0.0,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689746879,3436.22518,1438429.9574174196,1438429.9574174196,4.85070338671e-05,9.525381765965895
9,17727796,20316.396834,0.0,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689776555,23702.46384192745,1417433.0026075302,1417433.0026075302,0.002376844830843,9.677672368165773
10,17728176,15982.23217608,0.0,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689781151,39684.7021554417,1417433.0075174768,1417433.0075174768,0.0066628508475235,9.797474348169168
11,17729220,0.0,3537.513337698721,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689793751,39684.74932228842,1420970.5585886305,1420970.5585886305,0.0066297330585918,9.79673412709768
12,17730034,0.0,0.0,0.0,238462.15520351523,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689803531,38873.665559971545,1153465.1093461248,1153465.1093461248,0.0096543041285635,9.858079916649181
13,17730508,1326.7432328,13913.097654973813,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689809267,40200.434086031,1167378.2272357005,1167378.2272357005,0.0100799230322561,9.865887930618312
14,17731067,597.03445476,1565.5645416475772,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689816035,40797.500107225125,1168943.8170304853,1168943.8170304853,0.0103537752194754,9.870824860457951
15,17732128,100615.37123,0.0,0.0,0.0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689828875,139587.73922314012,1145381.4324841865,1145381.4324841865,0.126244701304238,10.794869661084432
