,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,16496802,0.0,0.0,0.0,0.0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674806231,0.0,0.0,0.0,,
1,16497024,0.0,499.97712,0.0,0.0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674808907,0.0,499.97712,499.97712,0.0,5.0
2,16497355,104.9951952,1778.245787748975,0.0,0.0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674812903,104.9952101993136,2278.222921748335,2278.222921748335,0.008495844041603,5.02560358415786
3,16497705,649.970256,51251.51016057063,0.0,0.0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674817115,754.9662651627514,53529.733801286064,53529.733801286064,0.0007956552171917,5.0078353780683935
4,16498004,47267.8369248,99.995424,3289.8494496,0.0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674820727,44733.04162234109,53629.808318666575,53629.808318666575,2.782942391360992,5.463393147564736
5,16498080,0.0,0.0,0.0,99.99550499629343,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674821651,44733.09021111756,53529.85654266916,53529.85654266916,2.7933503595296214,5.464258864399573
6,16498594,38811.98079948348,40948.23565298791,0.0,2350.0192341987304,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674827867,83546.2922997123,92129.17211815862,92129.17211815862,6.612783127537102,9.60237609449277
7,16498901,128063.76216906821,119050.46040263156,1304.503812173828,0.0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674831551,210309.35216964147,211183.0538692221,211183.0538692221,55.13542240045042,63.01623369261635
8,16499116,328515.5622089376,485830.4659805121,0.0,0.0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674834143,538828.1140531553,697016.3995439532,697016.3995439532,2.390415805967117,5.429471377440538
9,16499277,5546.507728191564,0.0,0.0,0.0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674836099,544375.7700328005,697017.4329676616,697017.4329676616,2.4398835514071906,5.433892405680654
10,16499732,6999.67968,0.0,21337.02357312,0.0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674841583,530041.6397136205,697020.3251763082,697020.3251763082,2.3130631985918786,5.422465499960388
