,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,19859211,0.0,29.1975744493,0.0,0.0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1715580587,0.0,29.1975744493,29.1975744493,0.0,7
1,19870336,0.0,1464969.2188248995,0.0,0.0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1715715251,0.0,1464998.517251873,1464998.517251873,0.0,7
2,19876362,0.0,151600.9546195,0.0,0.0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1715787935,0.0,1667690.3606066129,1667690.3606066129,0.0,7
3,19945675,0.0,15242.42301984,0.0,0.0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1716625415,0.0,2111175.955090575,2111175.955090575,0.0,7
4,19953904,0.0,18712.337272301367,0.0,0.0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1716724703,0.0,2162728.416691328,2162728.416691328,0.0,7
5,19953944,0.0,0.0,0.0,18712.346176214367,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1716725183,0.0,2144017.0996086677,2144017.0996086677,0.0,7
6,19979624,10545.586066125,0.0,0.0,0.0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717035383,10545.586066125,2124557.2505022655,2124557.2505022655,0.0003257684457511,7
7,19979927,0.0,0.0,10569.907602785062,0.0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717039055,0.0,2129456.976919395,2129456.976919395,0.0,7
8,19984084,96.13912583975,0.0,0.0,0.0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717089371,96.13912583975,2130544.3170457487,2130544.3170457487,2.6923012e-08,7
9,19995126,0.0,156991.118199365,0.0,0.0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717222679,96.33497155718746,2291875.5193353887,2291875.5193353887,2.33609418e-08,7
10,20010404,0.0,167657.33197429567,0.0,0.0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717406927,97.32325782860666,2483044.7759453063,2483044.7759453063,2.03127454e-08,7
