,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,18013572,0,0.0,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693230899,0,0.0,0.0,,
1,18013824,0,8226395.723139568,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693233947,0,8226401.825320345,8226401.825320345,0.0,8.0
2,18014415,0,4358239.885706587,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693241111,0,12584930.516458398,12584930.516458398,0.0,8.0
3,18014548,0,105.06496906291471,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693242743,0,12585061.923565593,12585061.923565593,0.0,8.0
4,18016037,0,11781354.115054952,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693260731,0,24364961.842891973,24364961.842891973,0.0,8.0
5,18017708,0,8225480.468234029,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693280951,0,32590301.28003889,32590301.28003889,0.0,8.0
6,18018032,0,1372742.2215882533,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693284911,0,33967854.9082341,33967854.9082341,0.0,8.0
7,18018290,0,3232437.6273295637,0,1625257.01175,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693288019,0,35573148.059511706,35573148.059511706,0.0,8.0
8,18018423,0,45783.676199161375,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693289615,0,35622575.545212165,35622575.545212165,0.0,8.0
9,18019168,0,19226.025121192575,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693298675,0,35645742.43218478,35645742.43218478,0.0,8.0
10,18019682,0,174988.71674795088,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693304903,0,35818584.72921815,35818584.72921815,0.0,8.0
11,18020391,0,805353.276885557,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693313543,0,36623440.00108992,36623440.00108992,0.0,8.0
12,18020439,0,0.0,0,103.209559,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693314119,0,36624851.6893173,36624851.6893173,0.0,8.0
13,18021308,0,1499992.0696053428,0,516083.365,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693324631,0,37611359.031722695,37611359.031722695,0.0,8.0
14,18024383,0,5000264.34264988,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693361795,0,42610225.5684492,42610225.5684492,0.0,8.0
15,18025113,0,0.0,0,5780325.208,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693370603,0,36832820.87769137,36832820.87769137,0.0,8.0
16,18025626,0,0.0,0,6005519.226827844,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693376819,0,30828208.37515912,30828208.37515912,0.0,8.0
17,18026039,0,5805292.133780992,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693381811,0,36628486.18147939,36628486.18147939,0.0,8.0
18,18026226,0,252347.25240232857,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693384091,0,36880983.204656534,36880983.204656534,0.0,8.0
19,18027661,0,248242.62659033047,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693401491,0,37131679.76829527,37131679.76829527,0.0,8.0
20,18030614,0,13827.780297811509,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693437239,0,37146006.17217112,37146006.17217112,0.0,8.0
21,18031101,0,49139.61320907586,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693443191,0,37196147.7225995,37196147.7225995,0.0,8.0
22,18031609,0,950158.2963948788,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693449359,0,38150453.965606995,38150453.965606995,0.0,8.0
23,18032262,0,7892.501731539966,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693457231,0,38154409.78114741,38154409.78114741,0.0,8.0
24,18032744,0,677081.6834566053,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693463063,0,38831822.84651658,38831822.84651658,0.0,8.0
25,18033403,0,148891.41945468745,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693471007,0,38985312.380074166,38985312.380074166,0.0,8.0
26,18033765,0,2715034.469618753,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693475351,0,41699365.45453894,41699365.45453894,0.0,8.0
27,18034241,0,404644.3962308931,0,0.0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693481075,0,42105455.59562066,42105455.59562066,0.0,8.0
