,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,16496795,0.0,0.0,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674806147,0.0,0.0,0.0,,
1,16497086,0.0,316.9852791848178,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674809651,0.0,316.9852791848178,316.9852791848178,0.0,7.5
2,16497333,0.0,85962.72019713331,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674812639,0.0,86278.75979933911,86278.75979933911,0.0,7.5
3,16497613,0.0,15777.88231886473,0.0,10846.305740095862,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674816011,0.0,91098.23949514724,91098.23949514724,0.0,7.5
4,16497962,0.0,157311.96259017003,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674820223,0.0,248273.42819787428,248273.42819787428,0.0,7.5
5,16498232,0.0,66672.52055118646,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674823487,0.0,315041.0287388293,315041.0287388293,0.0,7.5
6,16498600,0.0,302708.0278690239,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674827939,0.0,615438.407796402,615438.407796402,0.0,7.5
7,16498883,832816.2086209271,1485386.712638638,249515.21127812928,74549.32514749395,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674831335,589055.9403889796,2022345.1825844145,2022345.1825844145,0.7830385851383554,10.089099199664512
8,16499116,52558.6720692,886279.8460050211,0.0,1576.7602515578228,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674834143,641052.1526045954,2905112.7283748505,2905112.7283748505,0.4607758286032553,9.461452442778233
9,16499277,0.0,17063.129285246134,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674836099,636975.1047180998,2903695.9658009894,2903695.9658009894,0.4556513375565831,9.44992858265084
10,16499523,0.0,789.651958158,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674839063,642088.8017264836,2927791.297348592,2927791.297348592,0.4554197028751316,9.449406164440829
11,16500046,0.0,496828.65154369647,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674845399,647119.7343848244,3447548.4958812613,3447548.4958812613,0.3393666659972913,9.168482186686644
12,16500215,0.0,850.6848077103981,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674847439,647991.8441229617,3453041.377571987,3453041.377571987,0.3392100129697274,9.168073007065178
13,16500685,0.0,24889.06284339921,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674853115,646027.7967743578,3467453.28215342,3467453.28215342,0.3346439947028762,9.15610488688834
14,16501363,0.0,1207435.498581133,0.0,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674861287,643784.9542413441,4662834.824826753,4662834.824826753,0.1913710166616441,8.727264163484646
15,16502006,0.0,862268.5485463958,541633.2465197627,30225.751823077582,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674869051,106235.36429610963,4982806.679679856,4982806.679679856,0.0083943260132532,7.689514444592211
16,16502781,12353.58049513,32748.690787461826,12372.667831410587,28338.17171785707,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674878375,106054.28650979162,4978748.80674537,4978748.80674537,0.0083834089665484,7.689345615505591
17,16503870,441.287510545,0.0,438.9746101562763,0.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674891503,105356.92763800589,4946001.733127883,4946001.733127883,0.0083834320599731,7.689345972739094
