,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,15331596,0,0.0,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1660369110,0,0.0,0.0,,
1,15412370,0,0.0,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661475734,0,0.0,0.0,,
2,15412970,0,4989.228653124927,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661483988,0,0.0,0.0,,
3,15418707,0,3621.63374319068,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661563260,0,4989.228653124927,4989.228653124927,,
4,15419026,0,4962.014875260616,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661567624,0,8035.836046165128,8035.836046165128,,
5,15422266,0,6.07326083,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661612621,0,12899.834276048297,12899.834276048297,,
6,15426481,0,0.0,0,4900.490122841589,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661671467,0,12817.727775757608,12817.727775757608,,
7,15451573,0,4.889059703582671,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662017240,0,7845.436450454851,7845.436450454851,,
8,15475141,0,838.24673043,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662343049,0,7820.034132363641,7820.034132363641,,
9,15475666,0,0.0,0,831.663,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662350576,0,9284.97589722808,9284.97589722808,,
10,15477005,0,4495.432509335925,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662369775,0,8380.387139050606,8380.387139050606,,
11,15513631,0,12602.264506212616,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662882223,0,12700.289885476392,12700.289885476392,,
12,15520051,0,89820.1324100501,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662973503,0,25716.223738461664,25716.223738461664,,
13,15527513,0,5711.77881504,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663080557,0,116799.58832649273,116799.58832649273,,
14,15528888,0,166314.8908410807,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663100174,0,111647.45707958564,111647.45707958564,,
15,15530834,0,61750.47023935684,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663127646,0,277292.5950557176,277292.5950557176,,
16,15536228,0,0.0,0,140474.09380004962,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663206765,0,338390.3176065699,338390.3176065699,,
17,15538063,0,166252.005590184,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663232339,0,338390.3176065699,338390.3176065699,,
18,15541491,0,36717.74447509362,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663274003,0,358418.97274321376,358418.97274321376,,
19,15543130,0,189918.61042131076,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663294103,0,385301.7866315008,385301.7866315008,,
20,15545587,0,1.154,0,1.154,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663324115,0,562073.2324646608,562073.2324646608,,
21,15552361,0,271151.71709540574,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663406291,0,562072.0784646607,562072.0784646607,,
22,15555212,0,23147.56002565424,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663440827,0,844913.3361867146,844913.3361867146,,
23,15556852,0,32489.81374192072,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663460747,0,880110.5940459315,880110.5940459315,,
24,15558260,0,9965.35141868953,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663477787,0,916344.6065703536,916344.6065703536,,
25,15559612,0,1.0536710503423052,0,1.0536710503423052,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663494155,0,930157.3847352265,930157.3847352265,,
26,15565868,0,6534.875572353719,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663569971,0,930156.3310641763,930156.3310641763,,
27,15566642,0,0.525296185,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663579343,0,825920.1671827377,825920.1671827377,,
28,15573539,0,37592.00394936343,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663662911,0,817540.3904382722,817540.3904382722,,
29,15578286,0,53452.48686084833,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663720415,0,890086.5463931777,890086.5463931777,,
30,15585290,0,26668.75321551871,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1663806239,0,917782.1436292058,917782.1436292058,,
31,15604514,0,2059.21679506162,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664038091,0,949926.0791220184,949926.0791220184,,
32,15606753,0,2909.3817721873697,0,2909.3817721873697,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664065139,0,1035044.4424985236,1035044.4424985236,,
33,15607600,0,23449.3926,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664075315,0,1032135.0607263364,1032135.0607263364,,
34,15609028,0,69.91750839074,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664092523,0,1066255.4056781244,1066255.4056781244,,
35,15612078,0,33911.31631906322,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664129279,0,1079175.6205513447,1079175.6205513447,,
36,15614713,0,99.54097955153635,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664161115,0,1073070.3118036129,1073070.3118036129,,
37,15628705,0,0.0,0,289586.7049994257,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664330315,0,1070468.1216941625,1070468.1216941625,,
38,15634542,0,0.0,0,76.65102333765698,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664400719,0,917300.34515904,917300.34515904,,
39,15657801,0,0.0,0,207915.3707101904,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664681675,0,928580.9841181492,928580.9841181492,,
40,15661933,0,621.745354,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664731379,0,711473.6024279572,711473.6024279572,,
41,15671062,0,6.66157824,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664841587,0,687509.0229987601,687509.0229987601,,
42,15671918,0,6845.676646714556,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664851943,0,739318.9449444669,739318.9449444669,,
43,15672216,0,66.2,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664855543,0,741311.6277763059,741311.6277763059,,
44,15672369,0,132.4,0,205.219338,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664857403,0,739029.2333933128,739029.2333933128,,
45,15672842,0,499.2748225468168,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664863139,0,738824.0140553128,738824.0140553128,,
46,15674244,0,4958.071026867954,0,1348.986402,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664880107,0,758233.1297158592,758233.1297158592,,
47,15682882,0,464.8019103,0,464.8019103,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1664984747,0,745577.0372184061,745577.0372184061,,
48,15698550,0,0.0,0,36261.95634164024,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1665173999,0,745112.2353081059,745112.2353081059,,
49,15727496,0,1061.2876632836796,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1665523007,0,715126.8665526351,715126.8665526351,,
50,15727746,0,1746.5515062683237,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1665526019,0,643155.6982928168,643155.6982928168,,
51,15728203,0,839.1903485679197,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1665531551,0,644902.249799085,644902.249799085,,
52,15731509,0,53.758077916849224,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1665571391,0,645921.3983870144,645921.3983870144,,
53,15732951,0,0.0,0,53.236460906020206,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1665588851,0,660000.7120082364,660000.7120082364,,
54,15733194,0,42.856345927015674,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1665591779,0,653543.4594090441,653543.4594090441,,
