,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,15331596,0,0.0,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1660369110,0,0.0,0.0,,
1,15412370,0,0.0,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1661475734,0,0.0,0.0,,
2,15416993,0,67.05696356662352,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1661539543,0,0.0,0.0,,
3,15421903,0,11474.957343857763,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1661608116,0,67.05696356662352,67.05696356662352,,
4,15427089,0,4371.368708137762,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1661679997,0,11540.43344107551,11540.43344107551,,
5,15434410,0,0.0,0,64.9122509025,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1661780762,0,15811.754842356871,15811.754842356871,,
6,15435759,0,20162.65,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1661799019,0,15747.7645313811,15747.7645313811,,
7,15437833,0,20185.5751191,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1661827259,0,36019.5896828005,36019.5896828005,,
8,15441732,0,0.0,0,19659.89752490597,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1661881572,0,56210.1668651765,56210.1668651765,,
9,15451573,0,4.9566208124,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662017240,0,35086.4306776321,35086.4306776321,,
10,15474105,0,19873.28,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662328905,0,35701.0021322142,35701.0021322142,,
11,15475145,0,595.0851478749,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662343138,0,55380.8540735744,55380.8540735744,,
12,15475687,0,0.0,0,596.8542873735,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662350925,0,55872.52926012223,55872.52926012223,,
13,15476505,0,0.019793885,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662362416,0,55441.779434864366,55441.779434864366,,
14,15489154,0,260299.673,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662537477,0,223314.248550987,223314.248550987,,
15,15489242,0,921021.3549524776,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662539043,0,1166320.5657949338,1166320.5657949338,,
16,15509615,0,1278878.4408256025,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662825133,0,1233799.5258299636,1233799.5258299636,,
17,15512521,0,87104.9246157548,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662866131,0,2673891.742858304,2673891.742858304,,
18,15513269,0,999.2551502105197,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662877259,0,2789977.374284482,2789977.374284482,,
19,15514378,0,69.236384,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc32260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Compound V3 USDC - Wrapped BTC,Compound III,1662892803,0,2807175.306870657,2807175.306870657,,
