,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20243751,0,0.0,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720224047,0,0.0,0.0,,
1,20277741,0,119417.5581875,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720634303,0,59681.125,59681.125,,
2,20277800,0,106145.45287297874,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720635011,0,179209.2995625,179209.2995625,,
3,20278332,0,656.8965639025637,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720641407,0,225618.31924797877,225618.31924797877,,
4,20278963,0,4512.460096920613,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720649015,0,227019.21662426012,227019.21662426012,,
5,20289231,0,1457.2887772225151,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720772951,0,230726.37348120697,230726.37348120697,,
6,20290867,0,865390.9665465889,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720792679,0,694796.2638201461,694796.2638201461,,
7,20295264,0,1897.372005376449,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720845683,0,1092635.8053667352,1092635.8053667352,,
8,20303517,0,0.0,0,4521.585177691584,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1720945319,0,1110202.370465733,1110202.370465733,,
9,20312131,0,2646.0988815547216,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDT - Compound,Compound III,1721049155,0,1116519.8648459304,1116519.8648459304,,
