,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20243787,0,179013.3,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720224479,0,0.0,0.0,,
1,20277936,0,20320.107,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720636643,0,179013.3,179013.3,,
2,20278173,0,15510.7,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720639499,0,206743.107,206743.107,,
3,20278560,0,2120206.725,0,741839.3639987283,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720644167,0,1600608.5172012716,1600608.5172012716,,
4,20279480,0,162320.598,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720655279,0,1664414.0172012693,1664414.0172012693,,
5,20279757,0,52709.28162736,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720658627,0,1759914.9612012692,1759914.9612012692,,
6,20279844,0,76742.99984,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720659671,0,1812548.1733270565,1812548.1733270565,,
7,20280685,0,48050.813,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720669787,0,1919094.7896012585,1919094.7896012585,,
8,20280983,0,225136.773,0,10769.149999072,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720673435,0,2127030.2010021876,2127030.2010021876,,
9,20286299,0,66018.5197270875,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 USDT - Wrapped Ether,Compound III,1720737503,0,2137707.0440021874,2137707.0440021874,,
