,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20243751,0,0.0,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720224047,0,0.0,0.0,,
1,20275183,0,1627.971235047,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720603475,0,0.0,0.0,,
2,20291342,0,106352.77662051687,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720798379,0,1627.971235047,1627.971235047,,
3,20291625,0,125274.64541551901,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720801775,0,108004.22353101088,108004.22353101088,,
4,20291848,0,47970.62326440868,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720804451,0,233334.48320200588,233334.48320200588,,
5,20293262,0,380865.24965973274,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720821503,0,491897.3676804456,491897.3676804456,,
6,20294983,0,86836.83239857646,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720842299,0,661359.0553662049,661359.0553662049,,
7,20298608,0,104505.59861257096,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720886111,0,750807.92470828,750807.92470828,,
8,20299361,0,85331.8625320691,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720895195,0,860900.2773477498,860900.2773477498,,
9,20300127,0,146333.84362766013,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08407f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Compound V3 USDT - Wrapped liquid staked Ether 2.0,Compound III,1720904387,0,946793.3011999975,946793.3011999975,,
