,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,16477122,813.8281044,8138.281044,0.0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674568775,0.0,8171.151561136716,8171.151561136716,0.0,0.9945209642544
1,16477268,0.0,2115.95307144,0.0,4882.9686264,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674570539,813.8282450823907,3776.4799995316152,3776.4799995316152,0.6116383169568,2.1089748376224
2,16477703,0.0,1623.9777577,0.0,3215.7985947633492,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674575783,803.9525444786698,5354.620260572247,5354.620260572247,0.4261385791152,1.7709794951904
3,16478320,0.0,2842684.6304215,0.0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674583199,803.9556822843593,2589167.554164801,2589167.554164801,0.0008812924416,0.9961267521456
4,16478482,387963.1133736,6345791.96456948,0.0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674585167,130129.30274880624,9217809.922368983,9217809.922368983,0.0400678881984,1.0675278575568
5,16478900,1247355.8154678002,1277045.2481881,0.0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674590219,1434064.3566146027,10494857.659158127,10494857.659158127,0.3878298257616,1.7011778862384
6,16479180,202064.12154875,1212408.9769870858,0.0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674593603,1838194.7199425248,11707245.77627573,11707245.77627573,0.4456417723344,1.8065158746336
7,16479277,0.0,0.0,0.0,24.247698574282616,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674594767,1838197.1965889344,11707273.91506088,11707273.91506088,0.445641302448,1.8065150168544
8,16479806,6747567.221595918,4654.5,0.0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674601127,8568304.31916853,11360338.164247751,11360338.164247751,2.1406848690384,4.8950197995456
9,16480090,4745826.538774931,8563883.9514,0.0,4068837.3865627344,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674604547,13271904.900578104,15747685.825816816,15747685.825816816,2.3920245657504,5.3529808012272
10,16480326,1554846.44,1555.001924644,1554847.2692311008,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Compound V3 WETH - Wrapped Ether,Compound III,1674607379,13271957.389795728,15752379.90670323,15752379.90670323,2.3913212183424,5.3516992475664
