,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20198047,0,0.0,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,,Compound III,1719672647,0,0.0,0.0,,
1,20218367,0,1024023.3908473876,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,,Compound III,1719917675,0,0.0,0.0,,
2,20219610,0,3483.5374182683568,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,,Compound III,1719932723,0,1024023.3908473876,1024023.3908473876,,
3,20220089,0,511278.92479366367,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,,Compound III,1719938531,0,1033472.6690852112,1033472.6690852112,,
4,20220953,0,409218.8074933541,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,,Compound III,1719948971,0,1534229.9436852855,1534229.9436852855,,
5,20221226,0,1703150.8438299692,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,,Compound III,1719952271,0,1942864.2334717785,1942864.2334717785,,
6,20230584,0,68.17834151860527,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,,Compound III,1720065143,0,3646015.077301748,3646015.077301748,,
7,20233011,0,0.0,0,627790.1115418373,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,,Compound III,1720094411,0,3463835.4605637747,3463835.4605637747,,
8,20274124,0,76.1786816823263,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,,Compound III,1720590707,0,2766109.5331375706,2766109.5331375706,,
9,20296073,0,3757.0959644951304,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94a1290d69c65a6fe4df752f95823fae25cb99e5a7,rsETH,,Compound III,1720855475,0,2718905.7675493103,2718905.7675493103,,
