,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,10984886,0.0,0.0035429306293453,0.0,0.0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601754197,0.0,0.0035429306293453,0.0035429306293453,0.0,0.0
1,10985207,406799.1075212728,1167682.686519891,0.0,0.0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601758661,406799.3744771976,1167682.9036275614,1167682.9036275614,0.537651447733176,1.929103272910304
2,10985505,0.0,1060286.2988554384,0.0,0.0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601762321,406800.1763589184,2227969.8439883767,2227969.8439883767,0.149050050861888,1.020399688719837
3,10985701,21607.6224,1111003.8992352805,0.0,0.0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601764954,428408.1528631236,3338974.0265070214,3338974.0265070214,0.0735428457761935,0.7164827826091495
4,10986030,0.0,257443.8694821718,0.0,0.0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601769506,428408.5683699927,3596418.2283946886,3596418.2283946886,0.0632332440715905,0.663540626116044
5,10986283,0.0,258020.24344074808,0.0,0.0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601773018,428408.8699741912,3854438.7131187953,3854438.7131187953,0.05499081493967,0.618447530516275
6,10986542,0.0,42246.56317846094,0.0,0.0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601776570,409051.3906404077,3722043.639732032,3722043.639732032,0.053696502876588,0.610744554356046
7,10986816,0.0,169752.3250261132,0.0,791.0233571174706,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601780315,409051.6739662104,3891005.1680616695,3891005.1680616695,0.0491267536304585,0.5841329632270735
8,10987065,55539.77,1340267.5981146016,1582.1907358994,1231601.3468975348,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601783514,463009.54419440497,3999671.652050012,3999671.652050012,0.05968946262753,0.644528431755105
9,10987374,0.0,820942.2627150498,0.0,0.0,0x35a18000230da775cac24873d00ff85bccded550,UNI,Compound Uniswap,Compound v2,1601787551,463009.9073101721,4820614.205257676,4820614.205257676,0.0411482379889635,0.5355171091528125
