,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,8164312,1.067613559606,2.038171341066,0.582334668876,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563313000,0.48527889073,2.038171341066,2.038171341066,2.143197278783852,10.00158730145128
1,8164922,3832.759803796993,758399.1687207238,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563321116,3833.2401096195617,766571.1983077447,766571.1983077447,0.010677238265386,2.372481865635504
2,8165225,4.799037296315,3839.229837052,0.0957229674064,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563325055,3848.2776540282343,772474.7875568712,772474.7875568712,0.010671230104776,2.380070900253594
3,8165484,0.0,0.0,4.745047371315,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563328511,3800.2488418912,763784.3336171907,763784.3336171907,0.010692117082827,2.38770082593936
4,8165729,0.0,54.64776729103403,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563331839,3703.215249096049,744335.056047647,744335.056047647,0.01067292759626,2.383584581544838
5,8166050,28175.24858295,12797.720651154597,0.0,529.5478803143428,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563335968,31936.2073645858,768193.0419997087,768193.0419997087,0.135249237417224,3.614758979266652
6,8166292,3287.1123346775,25082.79669279472,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563339033,35223.43831705983,793275.9454766957,793275.9454766957,0.148484181135537,3.715610806019304
7,8166571,0.0,20066.05282293277,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563342959,35717.109183874585,824457.3307314956,824457.3307314956,0.143483747014168,3.680036133699024
8,8166602,0.0,0.0,0.0,20019.09436099462,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563343445,35717.12651634729,804438.2519887731,804438.2519887731,0.1481492342403645,3.707431224511372
9,8167026,0.0,17592.488374509456,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563349702,36097.14334005317,830771.4902320696,830771.4902320696,0.142595781140912,3.646472288671586
10,8167253,0.0,4074.319561513501,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563352913,35653.87875370438,824639.3864377909,824639.3864377909,0.141393036522564,3.633647571876024
11,8167560,0.0,950.637525457,13322.234281754398,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563357308,22331.810833516935,825590.1737837218,825590.1737837218,0.075288809480544,3.092633776054944
12,8167786,0.0,40668.211366584015,15007.589077790968,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563360006,7044.982189450207,855934.1177636918,855934.1177636918,0.01836093973374,2.47863644733384
13,8168074,0.0,606.5750917865802,0.0,1826.149205726,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563363741,6852.322392870887,831294.6864486423,831294.6864486423,0.018446142827942,2.486453100557317
14,8168408,0.0,0.0,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563368106,7080.819356488424,859011.9471220785,859011.9471220785,0.0184809478890125,2.491135915352375
15,8168566,47.1759283584,12473.31545796096,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563370573,7128.007173180769,871485.2734305031,871485.2734305031,0.018164380141425,2.46757292671284
16,8168909,0.0,8301.74789932704,0.0,8292.13939481393,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563375302,7345.580208805854,898092.7043934178,898092.7043934178,0.018129800015145,2.462893117482798
17,8169159,0.0,4858.20187116212,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563378786,7354.9825769266,904049.3210155615,904049.3210155615,0.0180428890035625,2.464189182455825
18,8169360,1226.038198917869,34.15182484312922,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563381633,8608.699095045391,907483.6180644528,907483.6180644528,0.0213337703754,2.4987705281406
19,8169720,48.36817059735,9712.240569655938,0.0,4766.396002171835,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563386373,8678.919940090567,914617.1972411411,914617.1972411411,0.02140856835664,2.5067948795028
20,8169902,979.62549134,777.0832070727421,0.0,251.46966770187973,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563388903,9766.521791624527,925363.0328389572,925363.0328389572,0.024163764242475,2.5438664119413876
21,8170164,0.0,1981.2803940977567,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563392651,9762.219954710376,926934.0911663594,926934.0911663594,0.0240136827684925,2.533474434786997
22,8170476,0.0,0.0,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563397075,9551.818198638703,906953.1303931297,906953.1303931297,0.0239832863797415,2.530259002502161
23,8170570,0.0,0.0,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563398295,9551.827983443965,906953.1393060216,906953.1393060216,0.0239756917234905,2.5294552018891516
24,8171021,0.0,0.0,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563403819,9653.655434705497,916617.228253536,916617.228253536,0.024212115719475,2.554385575607062
25,8171297,19.37888477162,0.0,19.37888477162,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563407535,9553.39941719724,907095.1672408748,907095.1672408748,0.024242687422909,2.557603226627509
26,8171529,0.0,0.0,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563410270,9430.020998006066,895378.1299386483,895378.1299386483,0.024246567998665,2.558006181206383
27,8171820,0.0,2932.754401803,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563414525,9638.647303033971,918116.9944104473,918116.9944104473,0.024166266108768,2.557696339305802
28,8172106,2932.754401803,19551.69601202,0.0,2942.53034756749,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563418290,12571.43171669035,934726.1872517575,934726.1872517575,0.032597909326738,2.69306544818766
29,8172286,0.0,0.0,2932.754401803,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563420537,9638.698137443604,934726.2061191441,934726.2061191441,0.024107512512171,2.597621851650193
30,8172588,2934.75818745906,954.3312983076717,0.0,9775.8484948024,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563424948,12578.001365590666,926376.8236182301,926376.8236182301,0.0328645697190525,2.689437671775855
31,8172915,0.0,423.5356347956568,0.0,964.1924841444013,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563429556,12708.018348235664,935408.5395471673,935408.5395471673,0.03267738682654,2.672565183210305
32,8173153,0.0,72.82246211103943,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563432861,12844.236366581694,945505.5650426189,945505.5650426189,0.032633663438507,2.669187731844779
33,8173332,0.0,0.0,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563435206,12707.961597594598,935472.0512082686,935472.0512082686,0.0326081893554045,2.667098768226093
34,8173649,3112.77113918505,0.0,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563439254,15820.781355300298,935472.0950835188,935472.0950835188,0.042557111776233,2.7959702514279074
35,8173787,0.0,0.0,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563441236,15607.980023631208,922887.8034071953,922887.8034071953,0.042484311279466,2.791182797793516
36,8174258,0.0,68.59051920374515,0.0,34.120980251641456,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563447517,15767.465279203288,932347.3634665072,932347.3634665072,0.042509206841912,2.792906244636296
37,8174530,0.0,4967.571938984635,0.0,351.2817406859086,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563450951,15767.516097153612,936963.6997555053,936963.6997555053,0.0423829014877125,2.798386240896675
38,8174838,0.0,212.85688562447947,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563454703,15087.435067178025,896757.4305051502,896757.4305051502,0.04253577915625,2.80912750697464
39,8175019,0.0,992.3527248598906,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563457045,15095.500680914049,898227.8119518867,898227.8119518867,0.042624071536284,2.818067539480543
40,8175319,945.839616630625,0.0,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563461221,17196.937075951617,962827.349518483,962827.349518483,0.0457379117006615,2.845320136374376
41,8175559,0.0,10383.94848894,0.1038394848894,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563464617,17668.564566961217,999619.944250614,999619.944250614,0.0450514652092995,2.832044380059153
42,8175842,0.0,13915.969467326757,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563468504,17848.381933573164,1023719.7482590408,1023719.7482590408,0.0448342744679445,2.857260693119635
43,8175995,0.0,406.6902222111321,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563470479,17848.41466110294,1024126.467957008,1024126.467957008,0.044806008575178,2.856588547467192
44,8176260,0.0,0.0,0.0,171.8655806412669,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563473868,17848.471304904477,1023954.653460684,1023954.653460684,0.0449183276637375,2.863259882435113
45,8176852,0.0,4949.814194606169,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563481993,18052.297944868857,1040590.6262453578,1040590.6262453578,0.044421842896028,2.845125836049498
46,8177179,0.0,212.1861400386,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563486402,18052.36849676042,1040802.8760412384,1040802.8760412384,0.0443223283284495,2.839320055834857
47,8177521,0.0,114.20749238665614,0.0,0.0,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563490669,18052.442337537155,1040917.15005398,1040917.15005398,0.0444942438544875,2.8506343801128025
48,8177808,0.0,5976.2420223919125,3219.9799009040207,665.072970221288,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,WBTC,Compound Wrapped BTC,Compound v2,1563494324,14865.61599335468,1045947.7556590524,1045947.7556590524,0.0352125007770025,2.7528429865467
