,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,12069867,0.0,0.0,0.0,0.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616165654,0.0,0.0,0.0,0.0,2.2718749999691026
1,12070011,593.599495165,1187.19899033,0.0,0.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616167376,593.60240867975,1187.20073843885,1187.20073843885,6.027862684402739,15.069612332749337
2,12070393,582.70295,6409.73245,0.0,0.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616172659,1176.3199262535,7596.9454252008,7596.9454252008,0.770710191044525,6.221780719725168
3,12070700,1023565.2063210296,5184598.124196895,0.0,0.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616176774,1025815.2353577246,5197637.186082247,5197637.186082247,1.152497392660992,7.299393569653248
4,12070975,93148.3421521,17556157.497774925,0.0,0.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616180154,1118968.0192954417,22753798.240925513,22753798.240925513,0.13918891356968,3.53794345150648
5,12071235,28707650.15276569,43567007.67041221,58707.85837141195,469.65748,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616183987,29768124.121735062,66320507.30252487,66320507.30252487,4.91030067378753,13.6745949449739
6,12071468,14089724.4,16121579.252710624,0.0,0.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616187375,43858413.51850936,82442538.55594254,82442538.55594254,6.690612378309419,15.720788348392968
7,12071720,9457857.016246684,189233920.4005957,0.0,0.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616191009,53316727.11168816,271676824.2203148,271676824.2203148,1.127044669735975,7.178608225859557
8,12072019,70470663.61260825,432165131.9295772,14824379.446302071,14676796.25,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616194769,108964522.67216343,689166369.0195715,689166369.0195715,0.788509443894536,6.233843102370156
9,12072266,44030388.75,46749776.11819151,14147852.058197416,14960058.58611462,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616197925,138848118.93942034,720956934.2147125,720956934.2147125,1.098756305275596,7.131497201752188
10,12072523,0.0,255098.130207105,0.0,0.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616201147,137357847.4346829,713469254.959438,713469254.959438,1.101154336645704,7.149571164672576
11,12072818,6214198.875,12538876.41660159,0.0,1888561.9574844225,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616205235,143573316.6737128,724120585.7112889,724120585.7112889,1.1549169655399625,7.281115748262664
12,12072914,0.0,28969.54571063625,987302.625,0.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616206496,142586437.62709263,724149894.1201682,724149894.1201682,1.1404017276295575,7.239659361460295
13,12073257,0.0,4128206.57493759,0.0,0.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616211090,142587931.18714237,728279295.5444232,728279295.5444232,1.1295257784415624,7.211429391904735
14,12073535,73757.31375,1008803.0614148962,0.0,871149.375,0xccf4429db6322d5c611ee964527d42e5d685dd6a,WBTC,Compound Wrapped BTC,Compound v2,1616214493,142662896.1909516,728417915.3836986,728417915.3836986,1.133127804628493,7.232001237508853
